return_month,portfolio_return,complexity,lambda_value,native_loss,sleeve_reallocation,gross_exposure
1995-01-31,-0.0014349470177767029,48.0,0.00021697800330454362,1.1492563471935517,2.999999999999999,2.999999999999999
1995-02-28,0.015438789273770718,48.0,0.00021509629605280834,0.024279662784051442,0.5037668476732795,3.0000000000000013
1995-03-31,0.013327595719646207,48.0,0.00021519908908388278,0.07988479538000084,0.1025001198381752,3.0000000000000013
1995-04-30,0.01190321931151647,48.0,0.00021328077346890063,0.12050625785459726,0.15013528761075265,2.9999999999999996
1995-05-31,0.006067908026804219,48.0,0.0002119856508359146,0.4562120557014036,0.21254060798801983,3.0000000000000004
1995-06-30,0.0009791265003535506,48.0,0.00021026842704672695,0.897860899917331,0.24632078282879183,3.000000000000001
1995-07-31,-0.0027843427720365237,48.0,0.00021330992538745174,1.289235950526407,0.34461052350245036,3.0
1995-08-31,0.008296419689137299,48.0,0.00021351522698975786,0.4082594549713773,0.4986301708726543,3.0000000000000018
1995-09-30,0.010936171911314385,48.0,0.00021417296559075714,0.1998188125519131,0.2878663916075138,3.0000000000000004
1995-10-31,0.030773214164069446,48.0,0.00021186063559196902,0.4439536204574708,0.2037351271896246,2.999999999999999
1995-11-30,0.0022463007577408767,48.0,0.000211823259113236,0.7761048300150458,0.2912799581395692,3.000000000000001
1995-12-31,0.0003787089968500775,48.0,0.00021079956532216632,0.9586392353013206,0.37336936994815545,3.0
1996-01-31,0.010615625180199106,48.0,0.00021268256245417084,0.14976244287712,0.4215444744719514,2.9999999999999996
1996-02-29,0.00029364386607088873,48.0,0.00021191183482114105,0.96691084827061,0.2743854985537155,3.0000000000000004
1996-03-31,-0.0023876667688486966,48.0,0.00021012219821236447,1.294518622309042,0.37610681259737744,3.0000000000000018
1996-04-30,-0.010128772587628473,48.0,0.00020989109285075324,2.5747759406639164,0.3911994802420235,3.0
1996-05-31,-0.0035353491070767183,48.0,0.00021095977443506597,1.394438791997411,0.5487941089477015,2.9999999999999987
1996-06-30,0.0054814072378193,48.0,0.00021127648679794873,0.5414443977968542,0.5601519404620116,3.0000000000000018
1996-07-31,0.020082834433351047,48.0,0.0002129871999196823,0.00010762709953591206,0.5680796944464543,2.9999999999999996
1996-08-31,-0.0050831172363053085,48.0,0.00021279594910560484,1.508106454497425,0.4235966179176682,2.9999999999999982
1996-09-30,0.0062098259742742,48.0,0.00021026671419326133,0.5177974999616473,0.552860399121769,3.0
1996-10-31,0.01395673660116643,48.0,0.00020894174744385226,0.13715154828160372,0.3534518830116472,2.999999999999998
1996-11-30,0.01386364658799197,48.0,0.00021042056687848375,0.19843045954432245,0.28934537198212984,3.0000000000000004
