return_month,portfolio_return,complexity,lambda_value,native_loss,sleeve_reallocation,gross_exposure
1995-01-31,0.008472208010005268,32.0,0.00018695788510388221,0.5297356532931422,3.0000000000000004,3.0000000000000004
1995-02-28,0.014409556791972014,32.0,0.00018532936875156525,0.23106187703634204,0.3706252756746394,3.0
1995-03-31,0.011675980041902706,32.0,0.00018533762528534853,0.36011465619031524,0.16963885141229323,3.0000000000000013
1995-04-30,0.017891960129373538,32.0,0.0001836496406994575,0.1403598945104747,0.21621644626128467,3.000000000000001
1995-05-31,0.012448829646060238,32.0,0.0001830006721756272,0.32610717635661984,0.17897743559214335,3.0
1995-06-30,0.005733977583273748,32.0,0.00018185823936052675,0.6460039926721688,0.23661468402914015,3.0000000000000018
1995-07-31,-0.0046360432878269076,32.0,0.00018484517377573105,1.2915350738373312,0.35586733596196596,2.9999999999999996
1995-08-31,0.011339268722928892,32.0,0.0001846711061207114,0.48289552882361797,0.47632354031179946,2.9999999999999987
1995-09-30,0.02123525895055972,32.0,0.00018555446727472902,0.12527824165228774,0.3393819094289551,3.000000000000001
1995-10-31,0.04257632763754399,32.0,0.00018458118465579054,0.1495267807605348,0.13443213506022,3.0000000000000004
1995-11-30,0.003710195819682038,32.0,0.0001850638039147361,0.7681239549171152,0.2404318953359622,3.0000000000000004
1995-12-31,0.0017789351462649506,32.0,0.00018402529380998295,0.8830799735208359,0.31557415504308783,2.9999999999999996
1996-01-31,0.012739681901567114,32.0,0.00018583699167423962,0.32243545052744477,0.4138342169282208,2.999999999999999
1996-02-29,-0.004163205510776059,32.0,0.00018545468602427958,1.3002512939965991,0.2907902904980436,2.999999999999999
1996-03-31,-0.0125156411865791,32.0,0.00018394794055237576,2.064980795779117,0.3822525693867674,3.0
1996-04-30,-0.01297584412570656,32.0,0.00018412620745048605,2.0124284744552288,0.5397441380557381,3.0000000000000018
1996-05-31,-0.004374111326922081,32.0,0.00018704666410631162,1.2676434993532706,0.6955129898996548,2.999999999999999
1996-06-30,0.00805250594172214,32.0,0.0001880001038947539,0.6132175977484169,0.5438112277196895,3.0
1996-07-31,0.020909978506621726,32.0,0.00019048029199860293,0.14634632632375677,0.5613448718517946,2.999999999999999
1996-08-31,-0.006329398962215457,32.0,0.00019090733696030447,1.370744376328763,0.45398515098948056,2.9999999999999987
1996-09-30,-0.0024511979823626127,32.0,0.00018823406052624102,1.1449791702834973,0.48268836844499186,3.0000000000000004
1996-10-31,0.03358428481361731,32.0,0.00018729178479689727,0.0021391520327106294,0.4666339207626895,3.0000000000000018
1996-11-30,0.017121153583140737,32.0,0.00018915530773221036,0.314013897605584,0.22719362695803116,3.0000000000000004
1996-12-31,0.012938474244806795,32.0,0.00019206890023275278,0.4451197766066495,0.30272430728708893,3.0000000000000004
1997-01-31,0.016684862948431682,32.0,0.00019320024677971698,0.28150811963501626,0.3660979917745419,3.0000000000000004
1997-02-28,0.01756904693907389,32.0,0.00019223497309022098,0.27777945263798315,0.31336823171835293,2.9999999999999996
1997-03-31,0.021993142239146907,32.0,0.0001932301931808978,0.29654439866606186,0.4623720457756042,2.9999999999999996
1997-04-30,0.031892435024828865,32.0,0.00019503470323595963,0.10768692738479428,0.37595040702562005,3.0
1997-05-31,-0.006492829325250115,32.0,0.00019835644179664471,1.288357568516018,0.5251447473691547,3.0
1997-06-30,0.00700154839220947,32.0,0.0002041994305790044,0.713881461518381,0.5865469257923608,3.0000000000000013
1997-07-31,0.025821699710894864,32.0,0.00020400951147943238,0.09678198747036394,0.5149488846484886,2.9999999999999982
1997-08-31,0.01255596669246527,32.0,0.0002044425467199294,0.4324291977712005,0.3295827026922708,3.0
1997-09-30,0.010797984407229943,32.0,0.00020584084282614004,0.4875658585955564,0.3324175702034414,2.999999999999999
1997-10-31,0.011358181712231366,32.0,0.00020690316534873834,0.46275938820972384,0.363302430910691,3.0000000000000004
1997-11-30,0.016179786713659935,32.0,0.00020375306626603737,0.26981329827453143,0.3326182844896125,3.000000000000001
1997-12-31,0.006557160997779271,32.0,0.00020653949850592637,0.6745851964054048,0.3995501664953156,3.0000000000000004
1998-01-31,0.001944286660006168,32.0,0.00020659188943549184,0.9087242948668793,0.43362512688019106,3.0000000000000013
1998-02-28,0.0031905678598427734,32.0,0.0002022769841595911,0.8386390077550551,0.6073714237376001,3.000000000000001
1998-03-31,0.003342009913219417,32.0,0.00020022311030061052,0.7912955130860794,0.34068178124436144,2.9999999999999996
1998-04-30,0.015085520161841028,32.0,0.00019880015258393651,0.2650993018378988,0.4132366529501518,2.999999999999999
1998-05-31,0.014378808512206902,32.0,0.0001984776743955478,0.2753137386094688,0.19076610711404118,3.0
1998-06-30,0.02983862498067583,32.0,0.00019873038499639042,0.006521784948701134,0.5009296873934787,2.9999999999999996
1998-07-31,0.021984381198372926,32.0,0.00020184191381600366,0.1079194831497092,0.27268647876143015,3.0000000000000013
1998-08-31,0.032538996295070656,32.0,0.0002035178972118664,0.004301965857898871,0.2693033351112919,3.0000000000000013
1998-09-30,0.014012673334050218,32.0,0.00020848703903872842,0.5023100594184212,0.4416584796862529,2.9999999999999996
1998-10-31,0.014870043925446299,32.0,0.00021409380851858699,0.44912525389454255,0.4874024138358516,2.9999999999999996
1998-11-30,0.024678622500076953,32.0,0.0002184168134765266,0.1653043458491664,0.45359387752940467,3.0000000000000004
1998-12-31,0.0236259293974439,32.0,0.0002226297365664851,0.12322129578631903,0.41056848326398504,2.999999999999998
1999-01-31,0.003738121885968601,32.0,0.00022856169470025255,0.8402032681761854,0.3675105451294448,2.9999999999999996
1999-02-28,-0.00987909224162531,32.0,0.00023673616628109719,1.2774471945320527,0.5956876146217929,3.000000000000001
1999-03-31,-0.025204550221304467,32.0,0.00024276369060700418,1.783713412295029,1.199163421372548,2.999999999999999
1999-04-30,-0.03215947061047711,32.0,0.000249134746347644,1.8434829102702774,1.520699299639196,2.9999999999999996
1999-05-31,0.023538917666877716,32.0,0.0002579507022532821,0.5480425680837856,1.5724543715627652,2.9999999999999987
1999-06-30,-0.00970665119345673,32.0,0.0002644705490603034,1.2581509352170677,0.977429365726034,2.9999999999999996
1999-07-31,0.026202320981539923,32.0,0.00026990190406341204,0.4828223585398831,1.1187615265649158,2.999999999999999
1999-08-31,0.015603684012597555,32.0,0.00027047189190549476,0.6478345011398504,0.8113265844351487,2.999999999999999
1999-09-30,0.02784717394661026,32.0,0.00027459819733900205,0.5124738265944407,0.7527253738945683,3.0000000000000004
1999-10-31,0.03495375949245341,32.0,0.0002812729772520958,0.34247530075746246,0.7783314356618947,2.999999999999999
1999-11-30,0.1498263081185856,32.0,0.00028888245088785615,0.2309335033067774,0.6053341672675763,3.0000000000000004
1999-12-31,0.1408756888235249,32.0,0.0002996977285311841,0.06140962497115168,0.6335505834901859,3.0000000000000004
2000-01-31,0.07565474192480776,32.0,0.0003133787239476246,0.6157920959895916,0.7426866819582466,2.561473119635214
2000-02-29,0.32043618189360384,32.0,0.00032367361610963506,2.052136658405884,1.3694426243999678,2.156948876495107
2000-03-31,-0.1420081403010623,32.0,0.0003392000279532045,1.3938357798194194,0.9824462357895625,1.918973297086198
2000-04-30,0.09663023785412686,32.0,0.00035677482538208546,0.8026516551570299,1.7824185925227747,1.5883739398738943
2000-05-31,0.08649909892876158,32.0,0.0003768275611509749,0.2826573186905284,1.1501365487532667,0.877138210793178
2000-06-30,-0.13254008836469475,32.0,0.0003919229491364717,3.2322483938326103,0.26361065906847087,0.8570823590942583
2000-07-31,-0.08398957863168884,32.0,0.00041348533902173007,1.2277828859292115,2.265202752115175,1.8753229030768745
2000-08-31,-0.020271861652171173,32.0,0.00042964532701686024,1.1697064086026223,2.412059673806814,1.5430875377934954
2000-09-30,0.011599299330644127,32.0,0.00044229658009447247,0.9018567643128621,2.4272562675291547,2.8226509000246063
2000-10-31,-0.004711542845471144,32.0,0.0004531108037709057,1.0543417313396328,1.3222630999312248,2.2501941275803685
2000-11-30,0.12468067664288776,32.0,0.0004656431824140799,0.1845178784475753,1.3463872783063826,2.1221040989443867
2000-12-31,0.03836321322101362,32.0,0.00048037669687039117,0.8840992510820134,1.054429206310306,1.1361037610043203
2001-01-31,-0.10020410582906611,32.0,0.0004962551335393941,2.545769329471389,0.7590650227150659,1.0327702800278762
2001-02-28,0.015262290719370514,32.0,0.0005115695454817557,0.9075566690530753,1.2638397229334766,1.0774855921536655
2001-03-31,0.020029250627427025,32.0,0.0005369033708980062,0.9830449168005114,0.5214239932924412,0.9558941860838057
2001-04-30,-0.06117863993057319,32.0,0.0005625565798854422,1.9566946794973228,0.899801495297607,0.7467437015727633
2001-05-31,-0.020728981583844706,32.0,0.0005898519396352997,1.08881749152873,1.8062979394053822,1.604229083871782
2001-06-30,0.030778145415170946,32.0,0.0006032931840339646,0.6593050783815924,2.1538461148698405,1.431792398568883
2001-07-31,-0.044921707653161246,32.0,0.0006101738496452102,1.3374939332194866,1.5746958998335172,1.61822889640691
2001-08-31,0.03730298110944082,32.0,0.0006349385712636545,0.3686931456708931,1.643483009276833,0.9434649133008135
2001-09-30,0.04694104470677072,32.0,0.0006467451865117368,0.3843618589387916,0.2436451693641871,0.8514299492076296
2001-10-31,-0.053211609877825104,32.0,0.0006757634121776249,2.7470093493606953,0.353047483376034,0.804180688368088
2001-11-30,-0.032744382494063244,32.0,0.000690701157228263,1.6676647850312627,0.8479365996446652,1.2601998485368506
2001-12-31,0.01193108567121747,32.0,0.0007122131730664504,0.8952288552940488,0.8508614733834771,1.463898995014037
2002-01-31,0.022634779532708933,32.0,0.0007030245576195491,0.7502841561666237,0.9777383691696341,1.550886514472239
2002-02-28,0.04224885271914642,32.0,0.0006982014311632765,0.3265639540284339,0.830871282787861,1.1515792430481928
2002-03-31,-0.005760392167645053,32.0,0.0007236478836586096,1.0796490213181873,0.48536760255771866,1.0131815335018102
2002-04-30,-0.02993733812712919,32.0,0.000732949257784441,1.227599719590995,1.9367022226512955,2.37323228710215
