return_month,return,turnover_proxy
1995-01-31,0.00748160710887118,3.0000000000000018
1995-02-28,0.00830762893020936,0.0
1995-03-31,0.0016175990830238946,0.0
1995-04-30,0.012310178348464648,0.0
1995-05-31,0.007719172278912955,0.0
1995-06-30,-0.017162228812778013,0.0
1995-07-31,-0.02217621074814584,0.0
1995-08-31,0.002601819410396709,0.0
1995-09-30,0.008151088370538932,0.0
1995-10-31,0.02937756263444881,0.0
1995-11-30,0.0012941171316589103,0.0
1995-12-31,0.013628703239465797,0.0
1996-01-31,0.01266746261951993,0.0
1996-02-29,-0.007366844809262543,0.0
1996-03-31,0.0010121191026637134,0.0
1996-04-30,-0.02583637271501659,0.0
1996-05-31,-0.010171570081610012,0.0
1996-06-30,0.04162834229673126,0.0
1996-07-31,0.046070942751036736,0.0
1996-08-31,-0.01887279370715996,0.0
1996-09-30,-0.01231188583507882,0.0
1996-10-31,0.04642942654282969,0.0
1996-11-30,0.010669632205610916,0.0
1996-12-31,0.013237546427476762,0.0
1997-01-31,-0.0010015381612008957,0.0
1997-02-28,0.03566318702281737,0.0
1997-03-31,0.038657805941235454,0.0
1997-04-30,0.023829934307781866,0.0
1997-05-31,-0.03198091041279681,0.0
1997-06-30,0.010618187668286982,0.0
1997-07-31,-0.00040589941164589753,0.0
1997-08-31,-0.005464737295507529,0.0
1997-09-30,-0.011769173971599708,0.0
1997-10-31,0.021454494102576202,0.0
1997-11-30,0.03293900576778966,0.0
1997-12-31,0.016652328450200485,0.0
1998-01-31,0.010953121737210452,0.0
1998-02-28,-0.016755536098909653,0.0
1998-03-31,0.0024422586220086816,0.0
1998-04-30,0.0004858105385991962,0.0
1998-05-31,0.029652026359822538,0.0
1998-06-30,-0.002044786059578722,0.0
1998-07-31,0.01956744498843157,0.0
1998-08-31,0.08539876315460562,0.0
1998-09-30,-0.01865061411355512,0.0
1998-10-31,-0.00857515897929213,0.0
1998-11-30,-0.012978711388477622,0.0
1998-12-31,-0.013814723298670693,0.0
1999-01-31,-0.04299476181566429,0.0
1999-02-28,0.02412665886281313,0.0
1999-03-31,-0.039949872129766334,0.0
1999-04-30,-0.01128627310115217,0.0
1999-05-31,0.027128836606819022,0.0
1999-06-30,-0.00817151618179595,0.0
1999-07-31,0.026309427605737314,0.0
1999-08-31,0.0009748435891114471,0.0
1999-09-30,-0.013477868287614193,0.0
1999-10-31,-0.028282147267378432,0.0
1999-11-30,-0.06028756323884654,0.0
1999-12-31,-0.08572250375179313,0.0
2000-01-31,-0.026395822501921726,0.0
2000-02-29,-0.15202931061323358,0.0
2000-03-31,0.139202006842717,0.0
2000-04-30,0.14316626648202121,0.0
2000-05-31,0.09528442426474468,0.10632866587772134
2000-06-30,-0.12819012599176782,0.0979599929639144
2000-07-31,0.06548462858206491,0.20049420595472003
2000-08-31,-0.036192443679264316,0.037702455387832706
2000-09-30,0.06413691143013556,0.01663486548042309
2000-10-31,0.08974497396388252,0.03382424694369618
2000-11-30,0.16559272309598003,0.07437461466815076
2000-12-31,0.028561050671102324,0.23806684224678398
2001-01-31,-0.07008931854220901,0.005017134003414062
2001-02-28,0.14358726090912238,0.05342615520491799
2001-03-31,0.07321451656526565,0.16255214867000267
2001-04-30,-0.0539199110739587,0.03962295006590976
2001-05-31,0.026663383937235902,0.03044154513280372
2001-06-30,0.011272229318281913,0.0020355375566481464
2001-07-31,0.05784228086851219,0.0005398377840799846
2001-08-31,0.048986521995958765,0.02190806847045553
2001-09-30,0.060204258819146664,0.014061512639176692
2001-10-31,-0.02892216422510558,0.023579017536291214
2001-11-30,-0.03289311437796679,0.009925396211278859
2001-12-31,0.005500652754563986,0.012806264171116197
2002-01-31,0.037026146320130626,0.0005158042810326034
2002-02-28,0.05288998706066209,0.006954540297425187
2002-03-31,-0.013129774931715944,0.017197304134058445
2002-04-30,0.0449446003392093,0.0029139308998579003
2002-05-31,0.02439308886479747,0.010134889482436286
2002-06-30,0.041026842930089166,0.00195946862033875
2002-07-31,0.018291704801722757,0.009134227647707834
2002-08-31,0.0039031994206954294,0.0008743654461855401
2002-09-30,0.022135716191248107,9.848735626894617e-05
2002-10-31,-0.011926200975629417,0.0015332463061546887
2002-11-30,-0.03565060857241397,0.0015377954111056736
2002-12-31,0.027512681041851842,0.011312498003988048
2003-01-31,-0.002043394901581601,0.0030368444008575975
2003-02-28,0.0014559293558478784,0.0006728231288502581
2003-03-31,-0.0013164803172036207,0.0005796873031786321
2003-04-30,-0.01704282634523153,0.00035519413159230094
2003-05-31,-0.020400915806785918,0.004662786284442503
2003-06-30,-0.0003578327630481819,0.0035846737533664994
2003-07-31,0.0007641545867932755,0.00036423446553394967
2003-08-31,-0.005312218711987761,0.00022642016543933212
2003-09-30,0.0066623695686469,0.0003163466181835741
2003-10-31,-0.0025643143496756698,0.0007419711801947507
2003-11-30,0.0026516008175864326,0.0004379597358699916
2003-12-31,0.003108908091753178,7.355826194953112e-05
2004-01-31,-0.0024522058202133394,1.2970204223108212e-05
2004-02-29,0.0031812421573387444,0.0006206070137057089
2004-03-31,0.0025384184537861417,9.664484624837509e-05
2004-04-30,0.008315957658137297,0.00011894594867142665
2004-05-31,-0.0007611151607192174,5.584320409013008e-06
2004-06-30,0.004456927951246479,0.000345203058739741
2004-07-31,0.011566213637312642,0.00027207943791751794
2004-08-31,0.002114177167762007,0.00012936169870212885
2004-09-30,-0.006409727739030533,0.0007478408337167133
2004-10-31,7.298076704441794e-05,0.0010977185043722446
2004-11-30,-0.003932484386639895,0.0003368219561862111
2004-12-31,-0.0040933135364887,0.000861008384787575
2005-01-31,0.007685409439150151,0.0007152501536651576
2005-02-28,0.006111874148580769,3.058435802332296e-05
2005-03-31,0.011003256983569427,1.9209186749918547e-05
2005-04-30,0.006920990908034809,0.00010680588351440028
2005-05-31,-0.0049839908768098354,2.2989858715800893e-06
2005-06-30,-0.0031930800992590164,0.0010343067461398743
2005-07-31,-0.005657316365641643,0.0014252631636876532
2005-08-31,0.000423442503080613,0.0018314105964518622
2005-09-30,-0.0020703115319231982,9.896024245504599e-05
2005-10-31,0.005668990565270456,0.0005792357168382632
2005-11-30,-0.0033280341732479296,0.0008606147925201563
2005-12-31,-0.001692385083352816,0.000506979342401636
2006-01-31,-0.011953608966896977,0.0005061042265828101
2006-02-28,0.006691482869747497,0.0026550535341634627
2006-03-31,-0.0025481548646197555,0.0008842178923518292
2006-04-30,-0.0022214745227012176,0.0003651029971210532
2006-05-31,0.007552843211683001,0.0030613197280103584
2006-06-30,0.005104510506447528,0.0012120958010825352
2006-07-31,0.011659370613473836,0.002496523294144057
2006-08-31,-0.00028049509344059897,0.0031222732879996745
2006-09-30,0.0030896016584152524,0.002051719515855253
2006-10-31,-0.004529909477765418,0.001398711947304114
2006-11-30,-0.012284322518940117,0.002514201803567961
2006-12-31,0.0074693721418520286,0.002706480140664113
2007-01-31,0.0007628153550718644,3.82760065300615e-06
2007-02-28,-0.0006140856767410266,0.000131730100611252
2007-03-31,0.00493897331937136,0.0014367747104574845
2007-04-30,0.0006734390200112879,0.00224808110359412
2007-05-31,-0.001238166759587744,0.0003458324565984317
2007-06-30,-0.00011794479763920358,0.004432635208693834
2007-07-31,-0.0006868260336621872,0.000278477533123345
2007-08-31,0.0024779863931884125,4.403223163769107e-05
2007-09-30,-0.008656934303697674,0.0005662047581421869
2007-10-31,-0.004957008175841872,0.0003826779321155962
2007-11-30,0.01829872785908098,0.0005365542170047595
2007-12-31,0.005599811418012728,0.00022734105566760837
2008-01-31,0.0035200797496031605,0.00014744567386166044
