return_month,portfolio_return,complexity,lambda_value,native_loss,sleeve_reallocation,gross_exposure
1995-01-31,-0.001534659677622948,48.0,0.00021706413212631897,1.1603290760004712,2.9999999999999982,2.9999999999999982
1995-02-28,0.015528488802360942,48.0,0.00021518500986676431,0.022440220446768508,0.5077966104255126,2.999999999999997
1995-03-31,0.013225563003352243,48.0,0.00021531015255128895,0.08243271390117143,0.10219112442622444,2.999999999999999
1995-04-30,0.011855092064892563,48.0,0.00021340804373025255,0.12155895892062027,0.15097565004859292,3.0000000000000013
1995-05-31,0.006076695854053344,48.0,0.00021207265199883776,0.4551824789447229,0.21238938140637417,3.0000000000000013
1995-06-30,0.0008986603357188824,48.0,0.0002103492696707789,0.9058931086740682,0.2446855999420959,3.0000000000000027
1995-07-31,-0.0027343809217621274,48.0,0.00021339208325045665,1.2842067567679414,0.34438496770264304,3.000000000000001
1995-08-31,0.008475977738830522,48.0,0.00021361460241366782,0.39741242815482697,0.49809380788827096,3.0000000000000013
1995-09-30,0.01087049036494854,48.0,0.0002143125722232138,0.20165158327201513,0.2872886862775352,3.0000000000000004
1995-10-31,0.0310699491413285,48.0,0.00021200432272208138,0.4683886580198533,0.2050327493974904,3.0000000000000013
1995-11-30,0.002328754452453686,48.0,0.00021188694522631494,0.7685127368751646,0.2995789458173714,2.9999999999999987
1995-12-31,9.220079025352079e-05,48.0,0.00021087766238406822,0.9898444007103134,0.37587590443197244,2.9999999999999996
1996-01-31,0.010721127901831044,48.0,0.0002127933442232802,0.1451849108616849,0.4260964728293645,2.9999999999999982
1996-02-29,0.0006335500194703748,48.0,0.00021203874927571496,0.9293110690496292,0.274214057782656,2.9999999999999996
1996-03-31,-0.001557628500800198,48.0,0.00021035887239047662,1.1873108411145645,0.382732268919374,2.9999999999999987
1996-04-30,-0.009399453349823988,48.0,0.00021023226675945917,2.4334773303705877,0.3823992082321368,3.0
1996-05-31,-0.0032795616041775924,48.0,0.000211330403290739,1.3620134444604366,0.5454965259080368,3.0000000000000004
1996-06-30,0.006552368695937477,48.0,0.00021163492069337843,0.47012430729751986,0.560699095147995,3.0
1996-07-31,0.020634667280607564,48.0,0.00021339117449459995,0.001174070232909558,0.5719402665056634,3.000000000000001
1996-08-31,-0.005709469711134748,48.0,0.00021317344279158108,1.5773010289260505,0.428386054989666,3.0
1996-09-30,0.005475463291315436,48.0,0.00021060612962687283,0.5686423059717687,0.5645493832286997,3.0000000000000004
1996-10-31,0.01417696522556967,48.0,0.00020926051124522274,0.13235710872636391,0.3713361455715252,2.9999999999999996
1996-11-30,0.014185757855776358,48.0,0.00021073010851138812,0.18969635399705934,0.29297423780202453,2.9999999999999996
1996-12-31,0.008067907797664033,48.0,0.00021337982383807068,0.4436161743977202,0.2609588317585799,2.9999999999999987
1997-01-31,0.014064517979914074,48.0,0.00021404867663326143,0.1394987956212292,0.3467691147219631,2.999999999999999
1997-02-28,0.0033149049650891063,48.0,0.00021327352240208146,0.724357437262125,0.2766159026119021,2.999999999999998
1997-03-31,0.021769475300020734,48.0,0.00021309419158858751,0.03935601107436333,0.6166338433506086,3.000000000000001
1997-04-30,0.024849772543349198,48.0,0.00021417021814127253,0.015890837650595617,0.13930987910277992,3.000000000000002
1997-05-31,0.003482624310363226,48.0,0.0002162771739751282,0.7806042730690629,0.31908790006682985,3.000000000000003
