return_month,portfolio_return,complexity,lambda_value,native_loss,sleeve_reallocation,gross_exposure
1995-01-31,-0.0015249437304452435,48.0,0.0002187469096018662,1.1587828917695808,3.000000000000001,3.000000000000001
1995-02-28,0.015544380585804209,48.0,0.00021684478450599093,0.022847715573462216,0.5075999271602134,2.9999999999999987
1995-03-31,0.013237801372279354,48.0,0.0002169672823040147,0.08312292255255904,0.1027908502240023,3.000000000000001
1995-04-30,0.011864913185969066,48.0,0.0002150379619423154,0.12247782111803356,0.15151164434742734,2.999999999999998
1995-05-31,0.0060755263885746555,48.0,0.00021370836153668366,0.4561864056085845,0.21352365459855852,2.9999999999999987
1995-06-30,0.0009239071671827348,48.0,0.00021195674886257957,0.9035841671449104,0.24563806380323608,2.9999999999999982
1995-07-31,-0.00273637591707245,48.0,0.00021501680902216128,1.2835254342919122,0.3451590193126225,3.0
1995-08-31,0.008481017637295543,48.0,0.00021522339064549502,0.3986855940063177,0.4984400089785574,2.9999999999999996
1995-09-30,0.010860021065237204,48.0,0.00021592068578635818,0.20370602966809195,0.28779161042310725,3.000000000000002
1995-10-31,0.03113570170859874,48.0,0.0002135955023297885,0.46909489055975406,0.20593273052328334,2.9999999999999996
1995-11-30,0.0023213992911268167,48.0,0.0002135104128657711,0.7696544443351816,0.2986460022606131,3.0000000000000018
1995-12-31,8.461773807634678e-05,48.0,0.00021249574277374658,0.9906989954694326,0.37567506378292115,3.000000000000001
1996-01-31,0.010742066408632704,48.0,0.0002144298616121636,0.14493687987029344,0.42721844334777886,3.0000000000000004
1996-02-29,0.0006455645761937213,48.0,0.00021367686725076292,0.9281019614041165,0.2739465565369829,3.000000000000001
1996-03-31,-0.001546817001971258,48.0,0.00021194493617218075,1.1861379225164541,0.3816407876985164,3.0
1996-04-30,-0.009335751124307495,48.0,0.00021181079762465824,2.42248315646419,0.3803782819097689,3.000000000000002
1996-05-31,-0.003149519276947931,48.0,0.00021291852877714618,1.3469989118116248,0.5442112684146022,2.9999999999999996
1996-06-30,0.006604689699541892,48.0,0.00021323139579103315,0.46567239790717013,0.5566686232857745,3.000000000000002
1996-07-31,0.020554074099866763,48.0,0.0002149739342193825,0.0010104672106637407,0.5696045403061247,3.0000000000000018
1996-08-31,-0.005619470916401999,48.0,0.000214749190188505,1.567286969886884,0.4307262537411317,3.0000000000000027
1996-09-30,0.0051857461369801275,48.0,0.00021217124683426327,0.5877569067388341,0.5645383267742458,3.0000000000000004
1996-10-31,0.01429985932827142,48.0,0.00021083849412031316,0.12771012779607652,0.37582877345385957,2.999999999999999
1996-11-30,0.014126662470670156,48.0,0.00021232127802094949,0.19155972917791644,0.2921523383316598,2.9999999999999987
1996-12-31,0.008193676510036673,48.0,0.00021497978301269693,0.4364453718652893,0.2614240877707781,3.0
1997-01-31,0.01412951287265635,48.0,0.00021570065894114954,0.1361801704376515,0.34664967966397736,2.9999999999999996
1997-02-28,0.0034236942260967742,48.0,0.00021492549896213531,0.7152375207131989,0.2747196624828457,2.999999999999999
1997-03-31,0.02153301683250155,48.0,0.00021472229409127388,0.042133716210250007,0.6134499391141088,3.0000000000000004
1997-04-30,0.024313179585119433,48.0,0.00021580381435460996,0.020306625150161576,0.14178604686787064,3.000000000000001
1997-05-31,0.0034661585596427033,48.0,0.0002179803921683427,0.7811180757706252,0.3222332107192885,3.0000000000000004
1997-06-30,0.005599037102783523,48.0,0.00022343434733048474,0.6483324442456658,0.4095067422929347,2.999999999999999
1997-07-31,0.023830714230237856,48.0,0.00022273213870659987,8.203739176522623e-05,0.560131175295913,3.0000000000000013
1997-08-31,0.007247621122735078,48.0,0.00022287114986758977,0.433094388982311,0.42741161026352376,2.9999999999999987
1997-09-30,0.003097571548647175,48.0,0.00022309292337643064,0.7211147101517137,0.31303908091263555,3.0000000000000018
1997-10-31,0.00978449978120047,48.0,0.00022369156923699989,0.2623729093530593,0.39625010983594694,3.0000000000000027
1997-11-30,0.015851271037648905,48.0,0.00022048233634119142,0.020552970695766566,0.25447423945203873,3.000000000000001
1997-12-31,0.0004314073180168895,48.0,0.00022076734154719192,0.9571841861525872,0.34528312250597903,2.9999999999999987
1998-01-31,0.00632984801140594,48.0,0.00021888696123287808,0.49704847927012147,0.40716188135814524,2.9999999999999987
1998-02-28,0.008010362764049582,48.0,0.00021507071550365132,0.38116499199977727,0.3951708597525243,3.0000000000000036
1998-03-31,0.0027173352468570313,48.0,0.00021337136093587563,0.7184464039918009,0.596945121014591,2.9999999999999996
1998-04-30,0.012653994461064475,48.0,0.0002115667597315529,0.07713936178527742,0.4692462381749955,3.0000000000000004
1998-05-31,0.006375289125713227,48.0,0.0002109130240127613,0.3986232738643852,0.204334016299894,2.9999999999999987
1998-06-30,0.017117686304134176,48.0,0.00021095411887946675,0.0060948054316836255,0.4548057750050456,2.9999999999999987
1998-07-31,0.01645985911459025,48.0,0.00021281889665264727,0.010898632559180627,0.4302873742106187,3.0000000000000004
1998-08-31,0.02071934395344636,48.0,0.00021443603104345083,0.004077812957843778,0.21599007106565846,3.000000000000002
1998-09-30,0.012365228233630458,48.0,0.00021821689760816062,0.28090004839732163,0.6419835272909917,2.9999999999999996
1998-10-31,0.002981785299743385,48.0,0.00022288436028186786,0.7653893593271319,0.36914085154376935,2.9999999999999987
1998-11-30,0.02265856802273983,48.0,0.00022551834968208306,0.0006784844776145906,0.4520613795816127,3.0000000000000018
1998-12-31,0.014273474770299392,48.0,0.00022969877720134134,0.11489931009520843,0.5044554141433985,3.0
1999-01-31,0.002985750787962932,48.0,0.0002331685362039997,0.7909308789231555,0.4743953414305,2.999999999999999
1999-02-28,0.0044802548691964305,48.0,0.0002392898736768134,0.7871958892517019,0.4537270496247599,3.0000000000000018
1999-03-31,-0.006699093180596556,48.0,0.0002450721958864445,1.401043022656682,0.593102029848331,3.0
