dataset,location,weighting,T,start_year,end_year,n_years,n_months,selector,base_sr,sr,delta_sr,gainQ,meanC,sd_monthly_C,mean_cancellation,p95_cancellation,positive_year_frac
world_vwcap,world,vw_cap,60,2005,2025,21,252,current,0.3355884913603661,2.016718761748769,1.6811302703884028,0.28315250730218244,16.714285714285715,3.6212237214443523,2.4738748346273276,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,gate2,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,allpast,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,recent,0.3355884913603661,2.136442222971587,1.800853731611221,0.29903036510316017,18.238095238095237,2.353021525964125,2.432170647610446,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,median3,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,minimax,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,mean3,0.3355884913603661,2.085465795944752,1.7498773045843858,0.29783821541948335,17.095238095238095,2.752553530651264,2.438719965608603,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,stack2,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,stack3,0.3355884913603661,2.0784331329192245,1.7428446415588583,0.2959336645263225,17.097810914656588,2.7788250398179635,2.439659649748847,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,120,2005,2025,21,252,current,0.6198068213897394,1.9429451848812676,1.3231383634915281,0.17463861212101128,22.80952380952381,9.129187276538262,3.5079382754813975,6.607451606637423,0.7619047619047619
world_vwcap,world,vw_cap,120,2005,2025,21,252,gate2,0.6198068213897394,1.9042773297961377,1.2844705084063983,0.1938248701574642,19.0,6.059466269738911,2.9554249580019696,5.116900949001072,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,allpast,0.6198068213897394,1.942270196849717,1.3224633754599775,0.19679148694923967,20.523809523809526,4.706043051928251,2.9122843516904795,5.373457170837522,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,recent,0.6198068213897394,1.9177004000277569,1.2978935786380175,0.17622520389528096,23.952380952380953,8.006826910643582,2.733858509112125,5.141497794008946,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,median3,0.6198068213897394,1.942270196849717,1.3224633754599775,0.19679148694923967,20.523809523809526,4.706043051928251,2.9122843516904795,5.373457170837522,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,minimax,0.6198068213897394,1.9234903648180832,1.3036835434283438,0.19530701267355888,19.761904761904763,6.955096238594022,2.886078719981795,5.116900949001072,0.8571428571428571
world_vwcap,world,vw_cap,120,2005,2025,21,252,mean3,0.6198068213897394,2.0166481239094103,1.3968413025196709,0.20957119617517422,22.428571428571427,3.9668518360157514,3.0513603787613337,5.166116414308374,0.8571428571428571
world_vwcap,world,vw_cap,120,2005,2025,21,252,stack2,0.6198068213897394,1.9347902588157253,1.314983437425986,0.19789579113461642,19.957129619915374,5.0284955586181015,2.926238235490677,5.205681760264364,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,stack3,0.6198068213897394,2.015414196791306,1.3956073754015668,0.21112015767847864,21.663108712367947,4.750405292491137,3.081579590423833,5.120664121605633,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,current,0.6830003972482696,1.7544596394281775,1.071459242179908,0.14996827033840246,23.0,10.048488023269215,2.9916708755544454,5.96451870032433,0.8095238095238095
world_vwcap,world,vw_cap,240,2005,2025,21,252,gate2,0.6830003972482696,1.7337178583507011,1.0507174611024315,0.15128770490423668,21.857142857142858,9.983024863722903,2.8607151283961287,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,allpast,0.6830003972482696,1.8804106187920868,1.1974102215438172,0.1720627980528239,28.523809523809526,8.432260462379405,3.000194502620172,6.327147719890082,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,recent,0.6830003972482696,1.83486506559695,1.1518646683486806,0.16937483657492286,26.047619047619047,10.776140934118592,2.9979146498096574,6.327147719890082,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,median3,0.6830003972482696,1.8804106187920868,1.1974102215438172,0.1720627980528239,28.523809523809526,8.432260462379405,3.000194502620172,6.327147719890082,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,minimax,0.6830003972482696,1.809762337654591,1.1267619404063214,0.16310011432751245,24.333333333333332,11.624949128107,3.067332301239664,6.327147719890082,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,mean3,0.6830003972482696,1.8732049929440329,1.1902045956957634,0.17856801143808362,25.857142857142858,7.413115278045586,2.996593342661425,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,stack2,0.6830003972482696,1.8653680507745274,1.1823676535262577,0.17307029442427369,26.91362070954546,7.95868281455427,2.956049843978836,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,stack3,0.6830003972482696,1.9004467510737488,1.2174463538254794,0.18238732204591895,26.836446750451277,7.4432018115877865,3.0082483821601107,5.957632148942916,0.8571428571428571
