selector,comparisons,datasets,avg_gainQ,median_gainQ,avg_sr,avg_delta_sr,avg_C,avg_cancel,positive_year_frac
allpast,44,18,0.06760144633425315,0.039528458117759194,1.108535240805308,0.550227729967694,13.854665711239381,1.893796545559193,0.6174938771863906
current,44,18,0.05084799486877323,0.021297649852188533,1.0567989438894072,0.4984914330517933,15.010948221650445,1.9352658889233008,0.6023369651113811
gate2,44,18,0.06927456246019809,0.04234147167704093,1.0802985279474917,0.5219910171098776,12.493373248659275,1.8556924077559442,0.5970156825068167
mean3,44,18,0.07218611322767328,0.04547817473780245,1.1191335953808121,0.5608260845431983,13.985453651343391,1.8832840367286559,0.6702992589391408
median3,44,18,0.06750472290327544,0.039528458117759194,1.1076013684805095,0.5492938576428956,13.838825490853706,1.8940009585092588,0.6174938771863906
minimax,44,18,0.07220877459164168,0.047141903885714535,1.0914197316075493,0.5331122207699353,11.912069063859803,1.8039882884304956,0.6018662612210318
recent,44,18,0.060481169569014254,0.027658687553053316,1.0965503920441722,0.5382428812065583,13.09074702114035,1.8207896757034745,0.5939109821832169
stack2,44,18,0.070181775366565,0.04507825079567108,1.1086194294892429,0.5503119186516288,13.507237016298484,1.8859942324091572,0.6221171778623228
stack3,44,18,0.07264721024381691,0.04693799795025194,1.1204552079788335,0.5621476971412194,13.898650359977795,1.8697695241695138,0.6311152747087169
