dataset,location,weighting,T,year,C_old,C_recent,C_all,C_gate2,C_median,C_minimax,stack2_w_gate,stack3_n_arms,selector_disagreement
world_ex_us_vwcap,world_ex_us,vw_cap,60,2008,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2009,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2010,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2011,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2012,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2013,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2014,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2015,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2016,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2017,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2018,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2019,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2020,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2021,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2022,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2023,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2024,16.0,4.0,8.0,8.0,8.0,4.0,1.0,3,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,60,2025,16.0,4.0,8.0,8.0,8.0,4.0,1.0,3,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2012,8.0,16.0,16.0,8.0,16.0,16.0,0.3943363929585982,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2013,8.0,16.0,16.0,8.0,16.0,8.0,0.058195120059273193,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2014,4.0,16.0,16.0,4.0,16.0,4.0,0.0,2,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2015,8.0,32.0,16.0,8.0,16.0,8.0,0.0,3,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2016,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2017,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2018,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2019,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2020,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2021,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2022,32.0,8.0,32.0,32.0,32.0,8.0,1.0,2,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2023,32.0,4.0,16.0,16.0,16.0,4.0,1.0,3,3.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2024,32.0,4.0,16.0,16.0,16.0,4.0,1.0,3,3.0
world_ex_us_vwcap,world_ex_us,vw_cap,120,2025,32.0,4.0,16.0,16.0,16.0,8.0,1.0,3,3.0
world_ex_us_vwcap,world_ex_us,vw_cap,240,2022,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,240,2023,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1,0.0
world_ex_us_vwcap,world_ex_us,vw_cap,240,2024,32.0,8.0,32.0,32.0,32.0,8.0,1.0,2,2.0
world_ex_us_vwcap,world_ex_us,vw_cap,240,2025,32.0,4.0,32.0,32.0,32.0,8.0,1.0,2,3.0
developed_vwcap,developed,vw_cap,60,2007,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2008,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2009,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2010,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2011,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2012,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2013,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2014,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2015,16.0,8.0,16.0,16.0,16.0,16.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2016,8.0,16.0,16.0,8.0,16.0,8.0,0.4661694659797053,2,1.0
developed_vwcap,developed,vw_cap,60,2017,16.0,8.0,8.0,8.0,8.0,16.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2018,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2019,8.0,16.0,16.0,8.0,16.0,8.0,0.4036085355967369,2,1.0
developed_vwcap,developed,vw_cap,60,2020,8.0,16.0,16.0,8.0,16.0,16.0,0.43607144422922617,2,1.0
developed_vwcap,developed,vw_cap,60,2021,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2022,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,60,2023,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2024,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,60,2025,16.0,4.0,8.0,8.0,8.0,4.0,1.0,3,2.0
developed_vwcap,developed,vw_cap,120,2012,8.0,16.0,16.0,8.0,16.0,16.0,0.3798585992043288,2,1.0
developed_vwcap,developed,vw_cap,120,2013,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,120,2014,4.0,16.0,16.0,4.0,16.0,4.0,0.12942427472369034,2,2.0
developed_vwcap,developed,vw_cap,120,2015,8.0,32.0,16.0,8.0,16.0,8.0,0.15198238298673264,3,2.0
