dataset,location,weighting,T,start_year,end_year,n_years,n_months,selector,base_sr,sr,delta_sr,gainQ,meanC,sd_monthly_C,mean_cancellation,p95_cancellation,positive_year_frac
world_vwcap,world,vw_cap,60,2005,2025,21,252,current,0.3355884913603661,2.016718761748769,1.6811302703884028,0.28315250730218244,16.714285714285715,3.6212237214443523,2.4738748346273276,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,gate2,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,median3,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,cons_mean,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,cons_stack,0.3355884913603661,2.0337281492021972,1.698139657841831,0.28924778043641447,16.333333333333332,3.7787411213460227,2.4101144145880355,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,60,2005,2025,21,252,stack3,0.3355884913603661,2.0784331329192245,1.7428446415588583,0.2959336645263225,17.097810914656588,2.7788250398179635,2.439659649748847,4.908860321134591,0.8571428571428571
world_vwcap,world,vw_cap,120,2005,2025,21,252,current,0.6198068213897394,1.9429451848812676,1.3231383634915281,0.17463861212101128,22.80952380952381,9.129187276538262,3.5079382754813975,6.607451606637423,0.7619047619047619
world_vwcap,world,vw_cap,120,2005,2025,21,252,gate2,0.6198068213897394,1.9042773297961377,1.2844705084063983,0.1938248701574642,19.0,6.059466269738911,2.9554249580019696,5.116900949001072,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,median3,0.6198068213897394,1.942270196849717,1.3224633754599775,0.19679148694923967,20.523809523809526,4.706043051928251,2.9122843516904795,5.373457170837522,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,cons_mean,0.6198068213897394,1.9315698975883484,1.311763076198609,0.1977551758089794,19.761904761904763,5.1918240527658135,2.933854654846224,5.187310726886012,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,cons_stack,0.6198068213897394,1.9347902588157253,1.314983437425986,0.19789579113461642,19.957129619915374,5.0284955586181015,2.926238235490677,5.205681760264364,0.8095238095238095
world_vwcap,world,vw_cap,120,2005,2025,21,252,stack3,0.6198068213897394,2.015414196791306,1.3956073754015668,0.21112015767847864,21.663108712367947,4.750405292491137,3.081579590423833,5.120664121605633,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,current,0.6830003972482696,1.7544596394281775,1.071459242179908,0.14996827033840246,23.0,10.048488023269215,2.9916708755544454,5.96451870032433,0.8095238095238095
world_vwcap,world,vw_cap,240,2005,2025,21,252,gate2,0.6830003972482696,1.7337178583507011,1.0507174611024315,0.15128770490423668,21.857142857142858,9.983024863722903,2.8607151283961287,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,median3,0.6830003972482696,1.8804106187920868,1.1974102215438172,0.1720627980528239,28.523809523809526,8.432260462379405,3.000194502620172,6.327147719890082,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,cons_mean,0.6830003972482696,1.8354603482411924,1.152459950992923,0.17011029317517232,25.19047619047619,7.917617942028074,2.930454815508151,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,cons_stack,0.6830003972482696,1.8653680507745274,1.1823676535262577,0.17307029442427369,26.91362070954546,7.95868281455427,2.956049843978836,5.957632148942916,0.8571428571428571
world_vwcap,world,vw_cap,240,2005,2025,21,252,stack3,0.6830003972482696,1.9004467510737488,1.2174463538254794,0.18238732204591895,26.836446750451277,7.4432018115877865,3.0082483821601107,5.957632148942916,0.8571428571428571
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,current,0.9987938662192203,2.5060828982106473,1.507289031991427,0.2751101634266452,19.0,0.0,1.799181801736868,2.8714350063117418,0.6842105263157895
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,gate2,0.9987938662192203,2.6293609322611564,1.630567066041936,0.31016291436419796,17.31578947368421,3.268635597484034,1.6871961339416603,2.426651796443348,0.7368421052631579
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,median3,0.9987938662192203,2.6293609322611564,1.630567066041936,0.31016291436419796,17.31578947368421,3.268635597484034,1.6871961339416603,2.426651796443348,0.7368421052631579
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,cons_mean,0.9987938662192203,2.6293609322611564,1.630567066041936,0.31016291436419796,17.31578947368421,3.268635597484034,1.6871961339416603,2.426651796443348,0.7368421052631579
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,cons_stack,0.9987938662192203,2.6293609322611564,1.630567066041936,0.31016291436419796,17.31578947368421,3.268635597484034,1.6871961339416603,2.426651796443348,0.7368421052631579
world_ex_us_vwcap,world_ex_us,vw_cap,60,2007,2025,19,228,stack3,0.9987938662192203,2.6242059236864357,1.6254120574672153,0.30929420250061257,17.59801874512361,2.465417742978443,1.7166431731580145,2.4487906604820755,0.6842105263157895
world_ex_us_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,current,1.2958786156571813,2.2212070590504047,0.9253284433932234,0.11733866892910068,23.285714285714285,10.77207681961556,1.8178922000788764,3.293546415448418,0.6428571428571429
world_ex_us_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,gate2,1.2958786156571813,2.3244021291329027,1.0285235134757214,0.15831600658490283,19.857142857142858,8.865114103906278,1.534805614797671,2.4385000471323233,0.7142857142857143
