selector,comparisons,datasets,avg_gainQ,median_gainQ,avg_sr,avg_delta_sr,avg_C,positive_year_frac
cons_mean,44,18,0.0705871000384821,0.04385167520860235,1.1002226631812972,0.5419151523436831,13.16609936975649,0.6260299317750767
cons_stack,44,18,0.07013978066879477,0.04507825079567108,1.1082109436725207,0.5499034328349067,13.500494257111486,0.6221171778623228
current,44,18,0.05084799486877323,0.021297649852188533,1.0567989438894072,0.4984914330517933,15.010948221650445,0.6023369651113811
gate2,44,18,0.06927456246019809,0.04234147167704093,1.0802985279474917,0.5219910171098776,12.493373248659275,0.5970156825068167
median3,44,18,0.06750472290327544,0.039528458117759194,1.1076013684805095,0.5492938576428956,13.838825490853706,0.6174938771863906
stack3,44,18,0.07264721024381691,0.04693799795025194,1.1204552079788335,0.5621476971412194,13.898650359977795,0.6311152747087169
