C,test_sr,pointwise_95_low,pointwise_95_high
0.5,0.4745091574405382,0.11160350740927431,0.8520515731994511
1.0,0.49230568240388,0.1297462838691923,0.8675796966243894
2.0,0.5250318907015713,0.16139520834024196,0.8920772557558778
4.0,0.5780134582732237,0.22340134717797427,0.9411981520339616
8.0,0.6397142944555471,0.3020324040185548,0.9888455879475733
12.0,0.6727287179315806,0.3584016027502416,1.003602957023484
16.0,0.680873049344839,0.3802404001830541,1.0096887190691641
24.0,0.6582155492344589,0.3592122283585069,1.0000541999625223
32.0,0.6500312087672674,0.34670843229344106,1.0181262478818112
48.0,0.6983418032066886,0.3677155635777686,1.1114028396118676
64.0,0.7100435037317416,0.3474554307700254,1.1504910830712782
96.0,0.6931734619174125,0.3032154853129776,1.157407184196705
118.0,0.6280683077473025,0.23967229292714415,1.0863159716912647
