sleeve_charge_bps,selected_budget,validation_sharpe,n_months,sharpe,mean,volatility,ce_gamma5,max_drawdown,mean_complexity,mean_lambda,native_loss,monthly_sleeve_reallocation,mean_sleeve_gross
0,48.0,0.6720283593530083,252,0.6983418032066886,0.0417967313883161,0.05985139540034881,0.032841257559893866,-0.15325244971047214,48.0,0.00043824045008231826,0.9457389974428919,0.6973074923487576,2.895959489484643
10,48.0,0.6079063171760107,252,0.559343206618867,0.03342904148013102,0.05976481180884235,0.02449945965376516,-0.1823125044623406,48.0,0.00043824045008231826,0.9457389974428919,0.6973074923487576,2.895959489484643
25,1.0,0.5211184212523863,252,0.3370105098199452,0.03527260998742909,0.1046632344085477,0.007886628395282584,-0.21411111768571955,1.0,0.1455986006389638,0.9951579802408506,0.5421418722839527,2.465124105587078
50,1.0,0.4077978964333316,252,0.1814396793181854,0.019008353818910504,0.10476403998474951,-0.008430406365904981,-0.26351688760365033,1.0,0.1455986006389638,0.9951579802408506,0.5421418722839527,2.465124105587078
