removed_state,n_state_retained,validation_delta_sr,test_delta_sr,selected_C,delta_sr_lo,delta_sr_hi,delta_sr_simultaneous_lo,delta_sr_simultaneous_hi
intangibles,12,-0.16688049459226595,0.21669407061073204,2.0,-0.1946683025728448,0.6698205767305421,-0.27268034253207,0.706068483753534
investment,12,-0.019145764642007013,0.2137637343888908,0.5,-0.19030847489523142,0.652234000347166,-0.27561067875391104,0.7031381475316929
momentum,12,-0.003504923047063291,-0.008454807246843776,48.0,-0.027934036489600567,0.018090064079678822,-0.4978292203896449,0.4809196058959591
new,12,-0.031642442166130436,-0.04427731693607184,48.0,-0.11210623866481419,0.014111584569819454,-0.5336517300788739,0.44509709620673016
profitability,12,0.0033285261345729067,-0.05089935378758348,48.0,-0.09074224047437195,-0.017301742671181813,-0.5402737669303856,0.4384750593552184
trading_frictions,12,-0.03581363086636269,-0.0014499991975071014,48.0,-0.05329089568020192,0.06456200012501677,-0.49082441234030877,0.48792441394529523
value,12,-0.031620671043170234,0.23672097878251747,1.0,-0.18381268360049938,0.6868038629844203,-0.252653434360285,0.726095391925319
all_mean_predictors,7,-0.2702935884701865,0.0992234618800163,2.0,-0.2837004618746949,0.5018051913685442,-0.3901509512627859,0.588597875022818
all_vol_predictors,7,-0.03855016570141312,-0.09668499422343291,64.0,-0.4803188953790446,0.2045535068547087,-0.5860594073662353,0.39268941891936876
