group,n_removed,validation_delta_sr,test_delta_sr,matched_C_test_delta_sr,selected_C,delta_sr_lo,delta_sr_hi,delta_sr_simultaneous_lo,delta_sr_simultaneous_hi
intangibles,30,0.004719616184452935,0.18816099896091598,0.12568842740899933,2.0,-0.2292449204451187,0.6617132225765266,-0.2838797398964503,0.6602017378182825
investment,32,-0.0008906596577172854,0.03664823561628061,0.03664823561628061,48.0,-0.018944824044473813,0.09956654021938438,-0.4353925032410859,0.5086889744736469
momentum,9,0.01905915793316504,-0.01039538540052043,-0.01039538540052043,48.0,-0.05391408162260736,0.032214628881950674,-0.48243612425788707,0.46164535345684576
new,15,-0.003583601178474227,-0.0037661811677907053,-0.0037661811677907053,48.0,-0.0384595941834006,0.027010503216590192,-0.475806920025157,0.4682745576895758
profitability,22,-0.027405056674526085,0.038616864415495944,0.038616864415495944,48.0,-0.009728754671918773,0.09600487410652993,-0.433423874441871,0.5106576032728618
trading_frictions,27,-0.07479718606363661,0.002299005126205622,-0.0386895618111629,32.0,-0.12391620023483334,0.13960842210914376,-0.4697417337311601,0.4743397439835727
value,18,0.06221432204659583,0.19509142151147685,-0.019615629286272696,1.0,-0.2458906061333391,0.6767053148957094,-0.276949317345889,0.6671321603688438
