state_features,nominal_policy_parameters,selected_C,validation_sr,test_sr
16,2448,8.0,0.7537904888762896,0.4637006535081969
64,9792,24.0,0.4786658909692252,0.5519368465701915
256,39168,64.0,1.1014239936177856,0.6436763440050589
1024,156672,118.0,0.8133005798489107,0.540364379220344
