return_month,intangibles__mean12,investment__mean12,momentum__mean12,new__mean12,profitability__mean12,trading_frictions__mean12,value__mean12,intangibles__vol12,investment__vol12,momentum__vol12,new__vol12,profitability__vol12,trading_frictions__vol12,value__vol12
1974-01-31,0.0008308506524132446,0.009619962093621525,0.012512020031248648,0.0072461272291640426,-0.005108153563533087,0.005645898779965845,0.005131605261331585,0.0038224552225858788,0.011912597238707617,0.020467301498725558,0.016424171108644792,0.013290041480395667,0.02025672386778444,0.016133804531931504
1974-02-28,0.0007944415894195066,0.010096999006881916,0.007238291631385697,0.003963821162879263,-0.006748870340031962,0.004004926230729537,0.010127564320240682,0.0038274375824418672,0.011852523997688089,0.026868738904082742,0.01844454972910672,0.01372828320613172,0.01898855634352033,0.024095751869732725
1974-03-31,0.0012923016539356132,0.01056285778010387,0.006693225298861856,0.0032189852890316313,-0.0066003455875573375,0.0022660197101205728,0.010362486514417265,0.0040122125864572936,0.012048342490159406,0.02683393100918315,0.018343345780930713,0.0137530873851229,0.01827683238120418,0.024203107390642735
1974-04-30,0.0013737975866990372,0.00971941795341749,0.004693816726173306,0.0033548339002454166,-0.004646636295276827,0.002798179558157634,0.010669749999385225,0.004007187558467645,0.012212878315278217,0.027255752920370135,0.018370228823885254,0.015447153682232095,0.01847441224678974,0.024205603540347318
1974-05-31,0.0019506659789761173,0.008744856437528722,0.003963169199684885,0.0025925403082844387,-0.0015742356441235698,0.0004331446333414061,0.007665607524335572,0.004480690110627832,0.011427548015533568,0.026776478005895887,0.01774065271692946,0.01760905549720811,0.016839833790421217,0.02294265710217328
1974-06-30,0.0015984116581518543,0.007769136400794029,0.0009279440386397933,0.0013586522422895863,0.000775971735810539,-0.0002398540613825148,0.007755186056360445,0.004335238583146643,0.011694266180528642,0.02509783320311051,0.016274169988334877,0.020028773881161362,0.016376619218093635,0.02290870868675784
1974-07-31,0.0015902441356215257,0.008315152427766828,0.0013890413853059902,0.0023713092200747863,0.0031982367450529,-0.00035158346527906656,0.007045036609708684,0.004330918820829817,0.011800905744411191,0.025413051068820088,0.017131767999337567,0.02094021691747342,0.0163360472055085,0.02323876267027186
1974-08-31,0.0027122756342384553,0.012195138053915712,0.004004426770760756,0.005518256215531301,-0.0010625285674491249,0.003813300964783828,0.012992867899687054,0.0032462908605819787,0.008876313014475279,0.023553813968385868,0.013628555827382555,0.0206325917141224,0.010782278368205868,0.02144358681240679
1974-09-30,0.0031142621594679575,0.01323651062216052,0.003033455629593849,0.004890132477453238,-0.001550697163923388,0.003553034442690168,0.01528654805015286,0.0036625729777781547,0.008921543802465154,0.02307235540169679,0.013552570238529961,0.02071515100237706,0.010915021461425157,0.02095048482414745
1974-10-31,0.0034434554709280463,0.015640471757715917,0.004741362938839641,0.007235981768725586,-0.0034231188768591575,0.007019468986782414,0.01792768211265058,0.0030309173130138936,0.00869030954672036,0.021502307239632354,0.0112558040342859,0.02245260525052231,0.010564820447334748,0.023070425653886045
1974-11-30,0.0029584948350027482,0.012863425961210899,0.0035862371411522283,0.005549100810080681,-0.0013571448726196974,0.0033602008739646166,0.01263843130918551,0.0037123838992181983,0.011791628347040253,0.020524930883775223,0.011466498192226922,0.02314863974619375,0.015746624160898757,0.03264789710596529
1974-12-31,0.002949173576949259,0.011855858689475156,0.0038385952701384535,0.004808031116212246,-0.000248783474027505,0.001131401187345195,0.012219906799513403,0.003716453953713463,0.011344041840987426,0.020607028526223033,0.011089951486547636,0.02221420754640944,0.01448379010719042,0.032752667156424414
1975-01-31,0.002543751274536559,0.011633143952766703,0.002291186062766112,0.004884081642672791,0.001585212115740603,0.00214614287130865,0.01280442711531708,0.003835052631249954,0.011339120126349243,0.018556279049146945,0.011106948608777652,0.021167257041120022,0.013913068621668287,0.03257491537862267
1975-02-28,0.0019281847559437135,0.010801644830575259,-0.0023986742218916404,0.0021140043700316365,-4.529417118789269e-05,0.00245394655408869,0.01476736904667377,0.004745256484146789,0.011721252923765088,0.03352490715789264,0.019737453898675362,0.023526004185724494,0.014114992427321066,0.036598219717348134
1975-03-31,0.0017815209691503249,0.00820244811536907,-0.0035577244696801107,0.0028565423992948573,0.002687955723601159,0.0015790297502333973,0.010831426946411564,0.004655761172456725,0.013385394226646674,0.03347617730216006,0.019875823675241606,0.024928812021237038,0.014618126219656734,0.03827776694209173
1975-04-30,0.002003390205800641,0.007908290664141211,-0.0033795284515951325,0.002421675608703721,0.003299974335326597,-0.0006153623128739783,0.01008601233996109,0.00470921670843051,0.01355001749206297,0.03343553050027758,0.019823636737091414,0.025416353740996475,0.01488896453556607,0.03832853367593225
1975-05-31,0.0020909235417504164,0.006864922971521668,-0.004089179432642028,0.0019450339893342585,0.003510139167996402,-0.002380286081774809,0.008349830071393482,0.004845036988009011,0.013677996126434248,0.03307081768594471,0.01963848061450877,0.02563050952395236,0.01618751417672739,0.03927585334290096
1975-06-30,0.0016722799883938716,0.006863808704103536,-0.0040880646435264715,0.0007182014046948113,0.00015933971714364708,-0.0030138975282676707,0.007976112502484442,0.005125725301020763,0.013678650661641418,0.0330708720662701,0.01933569992931701,0.024234243314120885,0.01595385116523516,0.039380779043314884
1975-07-31,0.0012406453680677046,0.006220113066006998,-0.0059991337716081535,-0.0017612039422001482,-0.003234776598531853,-0.0025683251254334303,0.00986947765126518,0.0051623571091087,0.013522867661724072,0.032219667056560944,0.01839625639218475,0.02349584473353092,0.016253967725315163,0.0391570435956331
1975-08-31,0.000981690205775451,0.004968984122991892,-0.006227074988265076,-0.0021956992953074167,-0.0013741934519710143,-0.001968792156652632,0.008507110874512907,0.005003323004702138,0.012107395046336547,0.03216420578811311,0.018227921283984046,0.022646602567927544,0.016885974097768642,0.038306629958913437
1975-09-30,0.00040083101853117896,0.0032903187936745,-0.006513872618807146,-0.001802311204020575,-0.0001893813076046387,-0.0011204658479061103,0.007210051453292937,0.004406991821947368,0.011307024616334855,0.032038094057781255,0.018399030163418626,0.022672272612159663,0.017086692740656762,0.038006864238682415
1975-10-31,0.0006635089860939023,0.0016066494571360366,-0.00522074559959168,-0.0016852618208561838,0.003020739618940815,-0.002210756222684247,0.004131477549639021,0.004433657290976501,0.008413111972706574,0.03243108395858556,0.018478334238426895,0.020355053567085373,0.015616317836378893,0.035775895266821484
1975-11-30,0.000996688321826474,0.003278496395158119,-0.00684874925948703,-0.0019701656604809124,0.0013789004072077239,0.0005027793710844123,0.00939157951919477,0.004190665720432966,0.007171302942867364,0.031889999118067544,0.018560756895095818,0.019910558718500233,0.012039638110086749,0.02906898320474886
1975-12-31,0.0006866923844949261,0.0027850758113058924,-0.008539087045196713,-0.0033540363098617993,0.001697959341290998,0.0007087224814251849,0.009997633143791188,0.004293541466184494,0.006783060564336525,0.031370470829469914,0.01853274928509044,0.019711931927673263,0.011990150995714434,0.028985984403664303
1976-01-31,0.0008152220566668002,0.002142869756230749,-0.010497714667448631,-0.004278502340667606,0.0006155126743025773,0.0007698886870005851,0.010710063287417413,0.004271331718912861,0.006321057876622924,0.0303079462558038,0.018211867365618417,0.02014623541851517,0.011990344413647358,0.029008358081702674
1976-02-29,0.0027642806096665057,0.003753696136004229,-0.0036212978203718506,0.00034065594459604145,0.003850553025424417,-0.0012602295174839703,0.005943508854400553,0.00542564694905191,0.008269237691340851,0.008801166398986569,0.007395461481396109,0.015947867029127146,0.011871801635432049,0.016847963066707113
1976-03-31,0.0030194078634368337,0.006784267446554024,-0.004010904275934868,-0.0010048115347771492,0.0010587025607751664,-0.001238743454446872,0.010531987489552206,0.0055395143550274195,0.008047899963863393,0.009140536009655042,0.006863670244737336,0.0139265690993766,0.011853172972971435,0.014903378270051233
1976-04-30,0.002539494721929084,0.006852453357783434,-0.0033030176965181206,-0.0012753468128248171,-0.0014317124166531678,-0.00017570538955952926,0.010854833138907222,0.0056703876848453435,0.007982679205603362,0.009013726121772361,0.0067888588194842696,0.01174850415196731,0.011119355047394114,0.01478090206918817
1976-05-31,0.001790111107178786,0.006481290939227391,-0.004208048933909815,-0.00167409567372679,-0.0042079142565557125,0.002888090810526335,0.013284426878195851,0.0052658368316923325,0.008441143876673137,0.008330780635111947,0.0064314082879043085,0.0070122913502422765,0.009306147221047924,0.011069554269235941
1976-06-30,0.0020776288526771053,0.005510184865352215,-0.0046976552419914245,-0.0014762000516770262,-0.0032935490581413747,0.002712163545310516,0.01389848571356919,0.0050279839121675635,0.009867994970171426,0.008400242204443414,0.006469620430774926,0.00708169650324556,0.009407101676353283,0.01018004881746798
1976-07-31,0.0024174457387923123,0.005405016216234807,-0.004861079099365811,-0.001182350966436847,-0.002103757888232952,0.0008058143878852427,0.013168458321467201,0.0048978515458157216,0.009872546314290574,0.008387125289853409,0.006177994886062836,0.005584380823331851,0.010125119126736791,0.010326406299167645
1976-08-31,0.002192998118979352,0.0052174135315632775,-0.005217991099525406,-0.001311310332650882,-0.003161096033691092,0.0005704632687225947,0.012619189632168007,0.004959110122968923,0.00976957812639553,0.008265669152932658,0.006123305262208787,0.006448213148219881,0.009730995449676679,0.00991268948908619
1976-09-30,0.0019986987262266757,0.0051963017359124486,-0.005640214191897793,-0.0021849423239338637,-0.004545016986908086,0.0008797480840303304,0.01298514485726661,0.005028195750959087,0.009784087082737558,0.00782224731720177,0.0054357448707942095,0.005878285480905369,0.010016669834953446,0.009813659997532047
1976-10-31,0.0017931935761227034,0.00438049209731482,-0.00623277476353399,-0.0030733657939854384,-0.005129466091512572,-0.0002732741571216203,0.012268140173309195,0.005055293855586604,0.009946602030437776,0.006637310688926887,0.0038216255231630835,0.0049643057500868655,0.009396547079766376,0.010221472527578655
1976-11-30,0.0015764786671064526,0.0035714016750852027,-0.005372097037729985,-0.0024044272015373807,-0.005555101299991327,0.0005428503579114252,0.012938199063736751,0.0051954626580021975,0.0100930410052835,0.007305583915224907,0.0034827782457657786,0.004951794294344379,0.009720827585654198,0.009620544178184727
1976-12-31,0.0014320880544365885,0.003735254251182908,-0.0035194611945039422,-0.0012233404908641432,-0.0050264232958544255,-5.003350806436123e-05,0.013122850444931061,0.005335447378819605,0.010136046318679405,0.008955421277435231,0.002774037188634135,0.005022351008898883,0.010022789404625702,0.00957361764203244
1977-01-31,0.001601279287401026,0.004323851016015849,-0.003696090303789123,-0.00107267641558018,-0.00440645692536844,-2.9690433582037466e-05,0.013578483914636327,0.005347274496408762,0.010289051660197368,0.009027992369510424,0.002685805537525262,0.004415925314451698,0.010025674043248993,0.009822012558440143
1977-02-28,0.00040138888537498055,0.0031404295842215753,-0.000985219499199408,-0.001222891861058422,-0.006438361702526283,0.0014170498328330459,0.013418015368639992,0.0028054789368579807,0.00896574389289597,0.007889036678777607,0.0027752624562967206,0.006981260453150618,0.009408389186362083,0.009479434815109895
1977-03-31,-4.018542525526669e-05,0.0014625923111049035,-0.00016846011301600904,-0.0003034719718454033,-0.005855991123387697,0.0028870981359753116,0.011633618293369334,0.00204336758660824,0.006465983291996719,0.006947454102488804,0.002936100274439747,0.007444412007885091,0.008721957871703163,0.008066201002829482
1977-04-30,0.00011673455989365722,0.0016707463083685049,-9.252007280679701e-05,-0.00010393706397471492,-0.005874393133802073,0.0031616489792506545,0.011559659546202986,0.0019926491721255625,0.006461834115148372,0.006943708005755681,0.002963256574151342,0.0074419371390263426,0.008619215532434022,0.008111796358562776
1977-05-31,0.0001613577752302175,0.0027203009599472416,0.0010726231854735872,-6.420316753102206e-05,-0.006404445940718872,0.0017815536246141692,0.012117217893202019,0.002004902872364738,0.006326375797387978,0.007525919722680357,0.0029907317887770024,0.007584206261840729,0.007994585844490748,0.008115948781616814
