return_month,matern_full,constant_full,linear_full,rbf_full,matern_loss_selected,equal_allocation,drop_sleeves_intangibles,drop_sleeves_investment,drop_sleeves_momentum,drop_sleeves_new,drop_sleeves_profitability,drop_sleeves_trading_frictions,drop_sleeves_value,drop_state_intangibles,drop_state_investment,drop_state_momentum,drop_state_new,drop_state_profitability,drop_state_trading_frictions,drop_state_value,drop_state_all_mean_predictors,drop_state_all_vol_predictors,compact_top8,compact_top16,compact_top32,compact_top64,standalone_top16,published_by2004,finance_prior,drop_feature_ret_12_7,drop_feature_resff3_12_1,drop_feature_ival_me,drop_feature_eq_dur,drop_feature_fcf_me,drop_feature_ebitda_mev,drop_feature_rd_me,drop_feature_seas_2_5an,drop_feature_seas_6_10an,drop_feature_prc,matern_T60,matern_T240,matern_rff16,matern_rff64,matern_rff256,matern_rff1024,matern_vw,matern_ew
2005-01-31,0.008155511919130436,0.001635609622504374,-0.009450602456137915,0.006349005802356033,0.007415238369960729,0.007685409439150151,0.010078433593237275,0.011659629473637639,0.0052020573238966555,0.005398602303004726,0.00759357705826066,0.00870606863043597,0.001855475840924033,-0.0005926376665832811,0.006479941826575498,0.00795119106216729,0.00853498948050755,0.008025871159944818,0.007652347166117054,0.00502013328078657,-0.006761539532256296,0.006942974759622623,0.018694730096281805,0.015848434156379838,0.012592809949888938,0.015674383974837502,-0.004933203828610526,0.01310135578640316,0.021084767021082453,0.0060759268911070325,0.007493234226019368,0.007361267934280759,0.007782318467445493,0.008183448716166377,0.007676131968657525,0.008539241433387516,0.009110530479985928,0.009404939574465603,0.008113358886770656,0.007791417807087788,0.0074595384541228426,0.008369797352029052,0.00773555417120398,0.011872067479362505,0.0036792873497191905,0.0026215847664803785,0.010851072352642406
2005-02-28,0.022983151535565752,0.016675193699123018,0.014303611159133589,0.010624331782801236,0.019805723847344348,0.006111874148580769,0.012380949705243081,0.02816505264772208,0.020832098646600395,0.0202732455668532,0.021794614661682626,0.028293710294553596,0.01433689410075629,0.01770792157428923,0.014488347816072864,0.022601022845293278,0.022138729203540677,0.022784129322903905,0.022851018561103446,0.015795926494380358,0.01189415503363069,0.012895253872929552,0.028529245709029417,0.016693700613339732,0.01975795421415002,0.02293870315807581,0.008998103609454565,0.01433239711997909,0.016717570002830293,0.021298114887507172,0.022514274681111356,0.02255886777811288,0.022807318331384864,0.0235091348886363,0.022248062843189222,0.022988679060153706,0.02129975211026186,0.02347702175737488,0.022866897796043974,0.0329392940241299,0.024110064323136768,0.013684551803867549,0.02062061920558962,0.018646221194821976,0.005277765753633775,0.019863102362099563,0.00933533371310186
2005-03-31,0.009437367706245363,0.0046386641270739866,-0.0025365442295930836,0.011776511529943898,0.008329493039380477,0.011003256983569427,0.012169308002188376,0.009673190615732012,0.008706014656308426,0.00850436842789223,0.010997554351221663,0.0116501558062879,0.010094626509069343,0.005565190227007304,0.011169131782142815,0.009227134142644458,0.009312230768679744,0.009305437510351934,0.008989405311092205,0.01167846841700877,-0.0019098163927941385,0.005977977283656659,0.015736849902653335,0.014205476346928047,0.014087769553163852,0.013642955118998807,0.014562989716345846,0.008798232395178034,0.01134570121373456,0.008646252358352964,0.009232595108400143,0.009515219426346123,0.009283330456191737,0.009340471426824516,0.00895447806470379,0.009543074945179454,0.008453203950896227,0.009179543863620703,0.009459299459393937,0.009301808981558248,0.011292418158780501,0.011836758544377409,0.012232663676032745,0.007160109724964511,0.006904095760183837,0.00391137860580272,0.012708839589913824
2005-04-30,3.348173371510499e-05,-0.003456188281318617,-0.0036411386690294615,0.009409502893079,-0.0009108486705325851,0.006920990908034809,0.009031380307839012,-0.0003769743224828476,0.0002569615726412559,-0.0012572793650934017,0.0002030484701318694,0.0032303643654731516,0.008279887701166883,0.006385670731092466,0.008876288727672484,-0.0004507840992251531,-0.0005160719507506343,-0.0006465561789312524,-0.0002903029598105069,0.008447061198077262,-0.0026489643473083333,-0.0043299988609266735,0.009135686241204952,0.0002907825278477855,0.0013208496172539877,0.0022627571456809324,-0.007128839644180663,0.006570544130625647,-0.0007853886928120021,-0.0016663710851042332,0.00019386478478660763,-0.00018785384417098223,0.00011838629912598424,-0.00023793140742961558,0.00024550894157205976,7.850502681435107e-05,0.0007133606564196349,0.0018354295352334155,-9.089121803330805e-05,-0.005197656177530136,0.001176591522307293,0.008483111051615392,0.0023030666194169477,-0.002914996266277845,-0.0017206275559540182,-0.009045837399114912,0.0017395036824782084
2005-05-31,-0.00047323634763327387,0.008961111587042155,0.007008768196946924,-0.0069512794854973605,-0.00029192859431804573,-0.0049839908768098354,-0.006483236710941912,-0.001274228913630368,-0.0008919264213778577,-0.0018166969898689134,-0.0008501792118809776,0.00043778781656776574,-0.005651003084353551,-0.0028297257266675273,-0.005174882314686787,-0.00015887575537181853,-0.00036973134624976935,0.0005737089179364044,6.03906434686006e-05,-0.005949641518062076,0.007914729195784316,0.005347111193134622,-0.007158649823612105,0.0017439684827330517,0.004643896505498658,0.00495982986684933,0.003835138226457854,-0.002852602665928201,0.004820507430893586,2.4228415620114008e-06,-0.0007232500266362053,-0.00043935937975633267,-0.0006506086223088389,-0.0003542277579560301,-0.0006964792285118734,-0.0003411339173662206,8.48129348782264e-05,-0.0005604614352538751,-0.00036418023865308154,-0.0067674418023364906,0.004657764162890622,-0.0029693729827296998,-0.0008837496503434528,0.0017554564032775566,0.0008001339756331245,-0.0015015971686043288,0.0077237562279812225
2005-06-30,0.008475624458923345,0.00838325267746739,0.006208608959445458,-0.00019314169564161847,0.008982029547828764,-0.0031930800992590164,-0.000368183851550213,0.00863310389015594,0.006243824812110745,0.008278061738002425,0.012155875990980242,0.007369564104509706,-0.0003446834992599918,0.0030270983266154506,-0.0011284294768412293,0.009066875303069422,0.008920315922821853,0.008764407139258688,0.009141588196235043,0.000715857598030492,0.0029638039303951915,0.008772483069200707,0.01654542203065846,0.012137175427608312,0.012699608048642487,0.007055603780016553,-1.3772451825541773e-05,0.006091743381202315,0.01736770960519589,0.006946154344922467,0.007494820547649792,0.007916539473751172,0.008092380142803815,0.00888791556015954,0.008295120110058686,0.008374432884373707,0.008577916764431802,0.008546067303005953,0.008615973681655873,0.016854605410436138,0.00017634425425405966,0.004940028286480055,0.004244586665971874,0.008910341724343185,0.005770239054759146,0.013682670117314272,0.003256619562194806
2005-07-31,-0.0022831971666750954,0.003769036771896912,0.005528663361388195,-0.00842044103909273,-0.003115109033365643,-0.005657316365641643,-0.00766826722837566,-0.0010521656523260615,-0.0022513458482463743,-0.003232871380396761,-0.004169363279154085,-0.0020336440106911127,-0.007745225575730241,-0.006561465684436993,-0.00682908887433718,-0.0021430775017453503,-0.002209205340110368,-0.002202198026986081,-0.001826428508138782,-0.007470772256808426,0.0023587102883662206,-0.002012659665523159,-0.006352305680208245,-0.0036138518043399423,-0.0036993981294561468,-0.0034761731185329703,-0.007057319689010289,-0.005971190449566255,-0.006816955058051972,-0.0028572165275365076,-0.0021313036684369327,-0.0020961272900833407,-0.0023095276500135183,-0.0022971898681561705,-0.002601976163646366,-0.0021172849616366398,-0.0016007122014674558,-0.0024668060707633377,-0.0022826794913161567,-0.002062807081472343,0.00021999110710468897,-0.00828123490507174,-0.003262025981421802,-0.0026105235501167902,-0.0021694677415636044,-0.0011447691568766928,-0.0010837953251991493
2005-08-31,0.007653379347666423,0.010285437092758651,0.018783564890685864,0.002432209817994831,0.006766110725543328,0.000423442503080613,0.0015991292030908574,0.007524461578378019,0.006297921050846573,0.008522999813578831,0.008234421207347686,0.009099171258869703,0.005707393410346886,0.010763201216472517,0.003208718928104841,0.007616150116778131,0.007192839371987492,0.00788807409202458,0.008577774293287611,0.0045905879990106825,0.01465039107194914,0.008019494525968165,0.004687315166095192,0.009826040986661315,0.012020127693779166,0.00977055407336439,0.010194091555090518,0.01056855904352047,0.011233500025102091,0.008602022081931794,0.007466202661743978,0.007598609986248795,0.0077700205812708464,0.007847805782790889,0.007736817000951077,0.007751530750348235,0.006821812690816707,0.007120319169367456,0.007653390318661555,0.006689401084164101,0.009863242612107337,0.003082725082247637,0.005899112553195993,0.005133689064598232,0.0027850715723420206,-0.00026400098117699395,0.010274391633530952
2005-09-30,0.008946427812537482,0.011461455855687197,0.025026770178936036,0.004001892472549113,0.008312787621467092,-0.0020703115319231982,0.0028409748532663144,0.008328148686755469,0.007413308077533899,0.00868966524178786,0.009016116609894171,0.01304766726305497,0.009165608587068688,0.0205557045535553,0.005152285853889072,0.008778609616512114,0.006925056814038128,0.009015269714231484,0.009683196304753696,0.008245021319581814,0.021484693265594965,0.007168585060693536,0.0070305925869737365,0.005950161395687169,0.017656875811680857,0.015456138501285232,0.00697619023476745,0.012273366448732623,0.01384624591984161,0.00827878780502876,0.008619118495284211,0.008864966681015123,0.008973229330455293,0.009267907031091285,0.009092438949662896,0.00890506325624163,0.009164931533779225,0.00840176253713115,0.008893974822592738,0.015178945829672469,0.010376417819383461,0.0033359634657432673,0.006235533452685594,0.005456090117272793,0.004942689782784749,0.011982371988690782,0.009947433139074204
2005-10-31,-0.0054880704406435965,-0.0018008530729154426,-0.01479872720702805,0.0018576402847201355,-0.0059725046396485295,0.005668990565270456,0.0008570396898749793,-0.005481318282332273,-0.003386065749070741,-0.00392871450206285,-0.0067184911875347066,-0.005608702744221808,-0.0011481053351357418,-0.00753718782735454,0.0020241327448347964,-0.00546184534436738,-0.004575512562433767,-0.005456832583065995,-0.0052937479776581815,-0.0006865778445478482,-0.007108286899647427,-0.006763844288525273,-0.007730348532036169,-0.0063536143510743905,-0.010933924847553005,-0.007940121249290166,0.001661360723350413,-0.008316101409939183,-0.015414856336258402,-0.004338234226652438,-0.004590654045687292,-0.005561961687025231,-0.005634175162230505,-0.005656789457259295,-0.005546931310926605,-0.005530109041252957,-0.005609545233400801,-0.0060886472253905075,-0.005577629196219322,-0.018543537695934944,0.002679582354567882,8.321357502814509e-05,-0.00038395815785951615,-0.003240352435629437,-0.0032715702530261015,-0.01468899651874077,0.005068121780129088
