model,budget,selected,validation_sharpe,validation_loss,test_sharpe,test_loss,mean_C,mean_lambda,mean_IS_Sharpe
matern_full,0.5,False,0.6311994729668389,0.99088432971354,0.47450915744053823,0.9975180295771113,0.5,0.3011168973597458,1.7178872398151601
matern_full,1.0,False,0.6334762505923573,0.9820792102948052,0.49230568240388,0.9951579802408506,1.0,0.1455986006389638,1.7668325056760432
matern_full,2.0,False,0.6329236431763557,0.965613598716219,0.5250318907015713,0.9907704926937859,2.0,0.06821288925602408,1.8578356454056264
matern_full,4.0,False,0.6223862705947666,0.93773799425094,0.5780134582732237,0.9832074319027155,4.0,0.03015885370834901,2.021396943712071
matern_full,8.0,False,0.6095173723589582,0.8988440887356073,0.6397142944555471,0.9721592982649644,8.0,0.012071157204185676,2.3624461403158277
matern_full,12.0,False,0.6032412785869987,0.8745809818252129,0.6727287179315806,0.9648685823606542,12.0,0.00659731330739797,2.728493797038464
matern_full,16.0,False,0.6021235314532343,0.8589787315654969,0.680873049344839,0.9596614533999789,16.0,0.004129838994365303,3.0527884560175367
matern_full,24.0,False,0.6309926437944056,0.8415644161220164,0.6582155492344589,0.9521345723779415,24.0,0.001993730853441384,3.7117225368958975
matern_full,32.0,False,0.6587106547197754,0.8327194428328928,0.6500312087672674,0.9469679893292048,32.0,0.001119847736052675,4.3602412674764635
matern_full,48.0,True,0.6720283593530083,0.8234673670530641,0.6983418032066886,0.9457389974428919,48.0,0.00043824045008231826,6.028435416703337
matern_full,64.0,False,0.6588751333534308,0.820325685729884,0.7100435037317416,0.9601358698501693,64.0,0.00019382700579179176,8.436578320559917
matern_full,96.0,False,0.600444649003189,0.8494353892400378,0.6931734619174125,1.0422514578630564,96.0,3.4638128806687236e-05,20.391926958104598
matern_full,118.0,False,0.5513048338669367,0.9158720911825216,0.6280683077473025,1.1723556149622771,118.0,1.7517671262413096e-06,225.97003718568197
constant_full,0.5,False,0.8667898772236766,0.9825623460606127,0.3419418730107647,0.9981696263303975,0.5,0.2539241609120548,1.0859601004547579
constant_full,1.0,False,1.0022152215332705,0.9617143934110243,0.3855859007483083,0.9956384045580754,1.0,0.10440639890929641,1.217311532416154
constant_full,2.0,False,1.359890196846876,0.9100110076220063,0.5125951432755083,0.9881213984069891,2.0,0.03786255597884826,1.5701933129269323
constant_full,4.0,False,1.9780397975976873,0.8037101723100069,0.761532957828437,0.9667109902838111,4.0,0.01233404739559216,1.93304507722703
constant_full,8.0,False,2.5325839575784457,0.6629210801753527,1.04093683000075,0.9257052610863343,8.0,0.003664161000723655,2.372717303426385
constant_full,12.0,False,2.814302236408925,0.5955937040742717,1.1596654446292427,0.9002639400525845,12.0,0.0017023668738818782,2.678948663900509
constant_full,16.0,False,2.9878412426085617,0.5630194375022616,1.2171547110976717,0.8876557421953447,16.0,0.0009529045121485869,2.964240560996389
constant_full,24.0,True,3.1315794234040117,0.5446904752523151,1.2432628922253488,0.8894329145333286,24.0,0.00039148249965075276,3.5439601400541485
constant_full,32.0,False,3.1296329584164075,0.5591120997234891,1.2060913892459366,0.9200291563946711,32.0,0.00019366167630240227,4.17162632038804
constant_full,48.0,False,2.9776569310682546,0.6361188908791591,1.0588392585941933,1.060045016414542,48.0,6.08507305537207e-05,5.578211000968874
constant_full,64.0,False,2.7587191721034188,0.7514687590729496,0.885401997519292,1.3130405851404046,64.0,2.182132760016326e-05,7.414106839384408
constant_full,96.0,False,1.9341626608632954,1.3714230589797485,0.5382414503160866,2.406923973709385,96.0,2.402600661473556e-06,15.405043534616073
constant_full,118.0,False,1.0408190103615227,4.072230308349773,0.31662637144857075,5.0644827797994365,118.0,7.482857877950988e-08,135.19283406149805
linear_full,0.5,False,0.7417084504549905,0.9889122594283464,0.3918464109667123,0.9985671887356977,0.5,5.890707393934365,1.1040480901000316
linear_full,1.0,False,0.7820610261622101,0.9898200128241236,0.4238379526636813,0.9972570221950412,1.0,2.3582660703288743,1.168253880656537
linear_full,2.0,False,0.8732173436272033,0.9882160392928067,0.47234640148623025,0.9949317971717517,2.0,0.787532963468717,1.3191313178193589
linear_full,4.0,False,1.014272452710957,0.9595893947123938,0.5468716353440354,0.9914639938294016,4.0,0.22839205311767455,1.5970642760239078
linear_full,8.0,False,1.599557816170477,0.8686408934374892,0.5940629258296076,0.9895124543740376,8.0,0.06354448926971658,2.02847510473907
linear_full,12.0,False,2.000963228886729,0.7844151648453839,0.5736619086926764,0.9925516101837913,12.0,0.028673871610166386,2.360612877824915
linear_full,16.0,True,2.140163878656031,0.7319103854238401,0.616286666365151,0.9988052416387012,16.0,0.015635230744226854,2.6478513710290947
linear_full,24.0,False,1.9459882243907731,0.7848025591565092,0.7189988491506695,1.0164557144860238,24.0,0.006103601396037109,3.2272578175640088
linear_full,32.0,False,1.734829918372461,1.0904326441973227,0.77209280187033,1.0388407943723437,32.0,0.002898554462892313,3.85461199567241
linear_full,48.0,False,1.5914367286712667,2.251741301028113,0.7770986588130399,1.1155244623819445,48.0,0.0008810241217485368,5.356420142134082
linear_full,64.0,False,1.3399931176946618,3.921649070318515,0.6941150853868739,1.268195246156321,64.0,0.00032454494685605777,7.47274447906968
linear_full,96.0,False,0.9127201458019367,9.046722317241628,0.5093369541758035,1.8499067235968822,96.0,4.483759369144977e-05,18.53464695045559
linear_full,118.0,False,0.7109479117873548,14.550358358819684,0.27981516349783614,2.5762915708601155,118.0,2.001671356211914e-06,215.78816672312837
rbf_full,0.5,True,0.5868227742696418,0.9891815687908121,0.47557574325838486,0.9971460828084314,0.5,0.2993791459367871,1.5910750563551699
rbf_full,1.0,False,0.5861773088594054,0.9786549129437968,0.49401235970514223,0.9944408341325984,1.0,0.1439304627988755,1.6394511711940258
rbf_full,2.0,False,0.5823561779756331,0.9589846444303148,0.5312309824019594,0.9894393946485711,2.0,0.06667821066748414,1.7325498787412286
rbf_full,4.0,False,0.5759709576037871,0.9264996504816312,0.5845740206864471,0.9809972250633668,4.0,0.028860369562633617,1.9135297526702164
rbf_full,8.0,False,0.5589767256509088,0.8843960332208813,0.63930999864767,0.969616138682468,8.0,0.011126215328323726,2.2665038079053
rbf_full,12.0,False,0.5406875454494144,0.8610721662546675,0.6629869388116233,0.9631981216383914,12.0,0.005893565478252618,2.6049433408869858
rbf_full,16.0,False,0.5320218042657152,0.8479828054640776,0.6581509721186999,0.9593878617601606,16.0,0.0035961571785855673,2.937309600562277
rbf_full,24.0,False,0.5500482612209449,0.8363432083506038,0.6211699269977905,0.9556924518642734,24.0,0.0016722124063539567,3.5920603709461383
rbf_full,32.0,False,0.5540849215894361,0.8327001362346134,0.6184141187119533,0.9563705391273868,32.0,0.000915277249056172,4.305009689310971
rbf_full,48.0,False,0.5251418318328026,0.8331880740417043,0.6384891436864338,0.9745993226130761,48.0,0.0003452923081470694,6.0025869627088735
rbf_full,64.0,False,0.49863423091902737,0.8417339147978283,0.6118827489302204,1.0167027798564228,64.0,0.00014826692776134632,8.288545778707942
rbf_full,96.0,False,0.4326608660376194,0.9021453966359531,0.5586058051786811,1.170753058395336,96.0,2.504624086674938e-05,19.936266609293593
rbf_full,118.0,False,0.3779185606973341,1.0000846476631644,0.46705769899122745,1.3851678975984725,118.0,1.217739007654317e-06,220.89490525731338
drop_sleeves_intangibles,0.5,False,0.661345661469107,0.9910998012114942,0.4663508612816569,0.9977828506317267,0.5,0.2525554411697042,1.5968929524451523
drop_sleeves_intangibles,1.0,False,0.6658000991706782,0.9825060756001529,0.48162264044081743,0.9956903172494443,1.0,0.12192619247455379,1.6406281645437697
drop_sleeves_intangibles,2.0,True,0.6673087431685554,0.9664636172424587,0.5101808042457726,0.9918284842921677,2.0,0.05695275827762797,1.7233833121780338
drop_sleeves_intangibles,4.0,False,0.6529168947042236,0.9395026646603071,0.5638713878598672,0.9852772495369267,4.0,0.025044040889122685,1.8863043863684394
drop_sleeves_intangibles,8.0,False,0.6206829231172801,0.9025330258341033,0.6246624702457095,0.976287490609683,8.0,0.009927216526595494,2.2279333124953205
drop_sleeves_intangibles,12.0,False,0.6043194869869952,0.8798831315846155,0.6533427423436983,0.9712078613690194,12.0,0.005377459227704164,2.572834345171356
drop_sleeves_intangibles,16.0,False,0.596991605965778,0.8654489116289125,0.6564548739650277,0.9683584931607472,16.0,0.003338158385770034,2.885612478496527
drop_sleeves_intangibles,24.0,False,0.6079129139340104,0.8491135994949273,0.6095555115707281,0.9660183285116068,24.0,0.001586985220839836,3.5211551040950777
drop_sleeves_intangibles,32.0,False,0.634129667195668,0.8399579351109178,0.5691036691310994,0.966758922351713,32.0,0.0008791673430078917,4.200296662560153
drop_sleeves_intangibles,48.0,False,0.6402306324318126,0.827678693927567,0.5726533757976893,0.9791645526589895,48.0,0.0003357554589730684,5.768967618567728
drop_sleeves_intangibles,64.0,False,0.619368659874149,0.8207157221128425,0.5779633394594726,1.008478478563705,64.0,0.00014530032867729573,7.910031061042266
drop_sleeves_intangibles,96.0,False,0.5527704134405161,0.8407629610011772,0.5427488185416233,1.1260718600166715,96.0,2.499927255259623e-05,19.334233633322967
drop_sleeves_intangibles,118.0,False,0.5016341582669979,0.8898254135835371,0.4926400419141733,1.28863123617859,118.0,1.2385190697866229e-06,216.79939242664608
drop_sleeves_investment,0.5,False,0.57818014615072,0.9918788450495359,0.4831843282531337,0.997381178271311,0.5,0.27024897559943706,1.663483428614217
