window,selected_C,mean_lambda,validation_sr,test_sr
60,32.0,0.0003910020216098368,0.6948154722131055,0.6460460493394575
120,48.0,0.00043824045008231826,0.6720283593530083,0.6983418032066886
240,64.0,0.0004925148463324171,0.6445703852303732,0.9529661821860115
