return_month,ranks_1_5,ranks_6_15,ranks_16_40,ranks_41_120
2005-01-31,-0.00012994506097095888,0.0018188603398487304,-0.00238403446740137,0.008850631107654036
2005-02-28,1.509648571983343e-05,-0.00038740622406233463,0.003810477015356962,0.01954498425855128
2005-03-31,-0.00022301818939112112,0.003750506284426236,0.0028436123329515523,0.0030662672782587217
2005-04-30,7.349537645647626e-05,0.004654120330481423,0.0034572967143238313,-0.008151430687546623
2005-05-31,-0.0002114600499018586,-0.0038180984047583248,0.0007539176811415054,0.002802404425885399
2005-06-30,1.08218536041166e-05,-0.0009276205878480644,-0.004701117157356674,0.014093540350523959
2005-07-31,-0.0002027504079815186,-0.004877713823226793,0.0062816307114699375,-0.003484363646936697
2005-08-31,-1.409408953460692e-05,-2.063257044320724e-05,0.003155233560187474,0.004532872447456775
2005-09-30,4.6446846421539475e-05,0.000334870764001105,0.0033395408071915694,0.005225569394923269
2005-10-31,-6.659737132281397e-05,0.0010765990224189618,-0.0021747990991864384,-0.004323272992553298
2005-11-30,4.9123038070959725e-05,-0.0013203630059152546,0.001397978879601664,-0.003147967944650454
2005-12-31,6.90855755611875e-05,-0.0006451178142972012,0.004193898343299819,0.0019261704111587304
2006-01-31,0.0014044573595246089,-0.004970157094350387,0.014770925276827085,0.0038900525290030594
2006-02-28,-0.0015619549798416479,0.0008251810812392815,-0.016625681930469868,-0.002994046857602989
2006-03-31,0.0007295613667439399,-0.0018293760956307995,0.006021174574779096,0.0016622934030799835
2006-04-30,-0.00012554307817962978,-0.00047248262873547577,0.012574746590824522,-0.0033312063510010175
2006-05-31,-0.0019117779319935012,0.0009228926658556816,0.0036731797166677602,0.0020375404318374946
2006-06-30,-0.00010567998907925908,0.00043995392981734425,0.006862312532324728,0.0003834294995494841
2006-07-31,-0.0019971481427234995,0.002883774511215067,0.006109637743953365,0.0042401427868511525
2006-08-31,-9.189936840363125e-05,-0.00019075478654970737,-0.012276810377985682,-0.0018707885615316042
2006-09-30,-0.0005207235113496666,0.0013881193730323818,-0.004642076639648158,0.003637446244424588
2006-10-31,0.0005812299728076822,-0.00340942190817594,-0.0002467620894287217,0.0033616584935026402
2006-11-30,0.0007690838236247275,-0.0038916742532154485,-0.00330956881453968,-0.00195642814538864
2006-12-31,-0.0013428779715858447,0.004332084357002266,0.0032847583810752027,-0.0018454442417499667
2007-01-31,0.00037008432185302716,-0.0015784420127350819,0.004423371284888334,0.0027822957419141405
2007-02-28,-0.00010016269943269608,-0.00020997333807125875,0.0005931369670184551,0.0026823214682161296
2007-03-31,-5.86871283656277e-05,0.0003738996053566534,0.008591431889243594,0.003013489964357283
2007-04-30,9.422343804414093e-05,-0.0005043473817047787,0.002010678572525242,-0.0001546819424712387
2007-05-31,0.00017958383385583841,-0.001089161219711925,0.0054088136188694905,0.007345821569073085
2007-06-30,0.0003345101530614333,-0.0010980413143669412,-0.00030666123900754944,-0.0033970860964568925
2007-07-31,0.0005855208101981551,-0.0007241634911687258,0.008786216262802685,-0.011650591324644343
2007-08-31,-9.954737750470646e-05,0.0012777795240626604,0.001662398725480718,-0.013913633855764019
2007-09-30,0.0008290719555916013,-0.0013728147858144686,0.008915537432255729,-0.002745303306119461
2007-10-31,0.0011304700060802714,-0.0003232192226720179,0.003263909368115097,0.0022301664581847623
2007-11-30,-0.0012183406086110848,0.002455282281679498,0.017770227019542773,0.0060696742009609785
2007-12-31,0.0006027042721359398,0.001634202545683517,0.01471060872853427,0.014555643469239222
2008-01-31,-0.0016767757714658805,-0.005233512894600265,-0.0012568182306076773,-0.02267939854898622
2008-02-29,0.000595966669072931,0.002919628039745552,0.01884628410488459,0.014995437768467245
2008-03-31,-0.0007784706013380179,0.0006618911928093275,0.007212242877983825,-0.0014450544587723008
2008-04-30,0.0008044005728131472,0.0019084636609580951,0.008515144661718824,-0.004468031876364974
2008-05-31,0.0014610982038436486,0.006199711329577903,0.01597852057839043,8.762722246703265e-05
2008-06-30,0.0023357157281106485,0.01807387221290807,0.057047941949039754,-0.0063474010021912506
