return_month,age,aliq_at,aliq_mat,ami_126d,at_be,at_gr1,at_me,at_turnover,be_gr1a,be_me,beta_60m,beta_dimson_21d,betabab_1260d,betadown_252d,bev_mev,bidaskhl_21d,capex_abn,capx_gr1,capx_gr2,capx_gr3,cash_at,chcsho_12m,coa_gr1a,col_gr1a,cop_at,cop_atl1,corr_1260d,coskew_21d,cowc_gr1a,dbnetis_at,debt_gr3,debt_me,dgp_dsale,div12m_me,dolvol_126d,dolvol_var_126d,dsale_dinv,dsale_drec,dsale_dsga,earnings_variability,ebit_bev,ebit_sale,ebitda_mev,emp_gr1,eq_dur,eqnetis_at,eqnpo_12m,eqnpo_me,eqpo_me,f_score,fcf_me,fnl_gr1a,gp_at,gp_atl1,inv_gr1,inv_gr1a,iskew_capm_21d,iskew_ff3_21d,iskew_hxz4_21d,ival_me,ivol_capm_21d,ivol_capm_252d,ivol_ff3_21d,ivol_hxz4_21d,kz_index,lnoa_gr1a,lti_gr1a,market_equity,mispricing_mgmt,mispricing_perf,ncoa_gr1a,ncol_gr1a,netdebt_me,netis_at,nfna_gr1a,ni_ar1,ni_be,ni_inc8q,ni_ivol,ni_me,niq_at,niq_at_chg1,niq_be,niq_be_chg1,niq_su,nncoa_gr1a,noa_at,noa_gr1a,o_score,oaccruals_at,oaccruals_ni,ocf_at,ocf_at_chg1,ocf_me,ocfq_saleq_std,op_at,op_atl1,ope_be,ope_bel1,opex_at,pi_nix,ppeinv_gr1a,prc,prc_highprc_252d,qmj,qmj_growth,qmj_prof,qmj_safety,rd5_at,rd_me,rd_sale,resff3_12_1,resff3_6_1,ret_12_1,ret_12_7,ret_1_0,ret_3_1,ret_60_12,ret_6_1,ret_9_1,rmax1_21d,rmax5_21d,rmax5_rvol_21d,rskew_21d,rvol_21d,sale_bev,sale_emp_gr1,sale_gr1,sale_gr3,sale_me,saleq_gr1,saleq_su,seas_11_15an,seas_11_15na,seas_16_20an,seas_16_20na,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,seas_6_10an,seas_6_10na,sti_gr1a,taccruals_at,taccruals_ni,tangibility,tax_gr1a,turnover_126d,turnover_var_126d,z_score,zero_trades_126d,zero_trades_21d,zero_trades_252d
2005-09-30,0.014464225,0.0026269783,-0.03246211,0.011381022,-0.026976746,0.0055604517,0.024807664,-0.007138434,0.0115038445,0.012367464,0.0050763017,0.013993705,0.0060956827,0.015959768,0.015604752,0.010697241,0.020274494,0.013380064,0.016828462,0.0069169914,0.0052903965,0.009180674,0.0019489292,-0.020304224,0.020231752,0.017248146,0.021835087,0.010317662,0.028431829,0.016666833,0.013356951,0.013516415,-0.004534924,0.0017167979,0.007635086,-0.0045617973,0.02484077,-0.023203826,0.00074542314,0.010621861,0.005407891,-3.958431e-06,0.029644812,0.00013447739,0.029604008,-0.0027894422,0.005690589,0.0017396437,-0.0017020286,0.037405763,0.035103455,0.010920542,0.0008254567,-0.0012244033,0.010452832,0.023635723,-0.0016340414,-0.0018247938,-0.006462022,0.03262187,0.0019973307,-0.0020650483,-0.0033680454,4.4139135e-05,0.00598873,0.022977646,0.0059803785,0.0068826396,0.011885806,0.01606546,0.008546602,-0.0126493005,-0.0043374295,0.023278637,0.011588583,-0.004240116,0.015106367,0.012682456,-0.020373194,0.016867155,0.0054601016,0.0051142196,0.022598825,0.0028838783,0.004749388,0.0127139315,0.015665945,0.01551596,0.0028501425,0.035249483,0.035617292,0.01263393,0.0066435016,0.0357582,0.00034011225,-0.004857218,-0.005342632,0.0150135625,0.013681474,-0.0050264983,0.010583597,0.0023829031,-0.004104454,0.018741982,0.012120446,0.022489456,0.010640633,0.0014629913,-0.0060174013,-0.00072172005,0.013326097,0.052214157,0.016375491,0.048045985,0.067953095,0.051655084,0.0033048387,-0.004150274,0.0051796963,0.05087993,0.0105892215,0.015210958,0.0360606,-0.0067883777,-0.0012931203,0.0062144976,0.022475692,-0.012769428,-0.0061336295,0.015143259,-0.01055178,-0.012077955,0.028218728,0.023470303,-0.010490352,-0.002926206,0.012898071,0.032106612,0.03842189,0.008890708,0.041663498,0.019271635,0.006383627,0.0124560855,0.013445147,0.0035648777,0.016861934,-0.0016568175,-0.00459805,-0.008213954,0.0010440261,-0.010998922,0.0044649043
2005-10-31,0.012746401,0.0010680303,-0.040846262,0.012471952,-0.029245388,0.0030885683,0.026987087,-0.012102585,0.01053864,0.0151982065,0.0041461005,0.0062328945,0.0062719104,0.018962957,0.017941982,0.009356103,0.021979304,0.013951352,0.017554933,0.006153884,0.005383985,0.006423494,0.0033756709,-0.023468921,0.024162559,0.020779008,0.026361821,0.01224445,0.034077857,0.02115789,0.015943393,0.015402308,-0.003313101,0.001048432,0.008302807,-0.0032386775,0.026793482,-0.027377766,0.007789673,0.0094335945,0.0047623464,2.7015089e-05,0.034079205,0.0007655987,0.03184554,-0.0042624776,0.001521741,0.0005662032,-0.0034415,0.04492486,0.03254374,0.012912392,-0.0025313038,-0.0045286505,0.008535606,0.027291708,-0.003433261,-0.002726614,-0.010257569,0.034028634,-0.0005056415,-0.0035127648,-0.0058905343,-0.00046930622,0.013442022,0.02157229,0.005969416,0.004598731,0.008155146,0.016383318,0.004864546,-0.014850143,-0.005761679,0.02686046,0.013757999,-0.007557484,0.015003481,0.0141034825,-0.017190285,0.017976869,0.0065949713,0.009280651,0.024737876,0.005992379,0.0052963723,0.009581556,0.014404551,0.013041267,0.0030478954,0.042364515,0.044065833,0.016799899,0.008194792,0.041491996,-0.003013844,-0.0049255406,-0.0054237745,0.017243309,0.0151981395,-0.010096153,0.011123955,-0.0014455692,-0.0048945285,0.027357804,0.013563923,0.027138527,0.012113921,-0.0013698973,-0.005723836,-0.00038931033,0.01454999,0.057062626,0.018383529,0.054238286,0.07361996,0.047517147,0.010617942,-0.00030659596,0.008101005,0.05924247,0.008174813,0.010829103,0.03380976,-0.008221587,-0.0032846031,0.0035505663,0.029678568,-0.01878481,-0.009990105,0.015856864,-0.014633021,-0.012394289,0.029995749,0.032697562,-0.007923441,-0.007236832,0.019813027,0.03886356,0.039084826,0.01152735,0.0489276,0.021813672,0.0077735414,0.013003234,0.015480311,0.009085023,0.020918978,-0.003815985,-0.0025640053,-0.014603519,-0.00086693047,-0.0135863125,0.0033702836
2005-11-30,0.015439748,-0.0026438618,-0.037620094,0.0106783975,-0.030884327,0.00092604547,0.02661182,-0.011396697,0.011214395,0.01368014,0.0031826752,-0.0036288362,0.0020134645,0.013435315,0.016379228,0.0043111476,0.02041779,0.010230639,0.018114321,0.005023515,0.009269421,0.010757405,0.0007450414,-0.027449783,0.018494746,0.015135663,0.021175057,0.016580932,0.033826243,0.017882176,0.015581163,0.010956425,-0.0037593339,0.0007868797,0.0078675365,-0.002293382,0.029202785,-0.021152196,0.0074510863,0.012300159,0.007979072,0.00081828656,0.032561865,-0.0030172265,0.03146352,-0.00045489,0.0035279626,0.00041985064,0.0008212325,0.041161288,0.032635026,0.01328302,-0.0025520313,-0.004616675,0.009211703,0.025753645,-0.0028367047,-0.0020784123,-0.014057966,0.03385859,0.0048430017,-0.0022157487,4.37273e-05,0.001366896,0.0026587062,0.020055847,0.0051912377,0.005802193,0.011335941,0.01584039,0.003835601,-0.011861143,0.0010241353,0.023866545,0.014222084,0.00010380927,0.018621428,0.016996482,-0.022318168,0.021268642,0.006542818,0.011661274,0.02746567,0.0060032518,0.007333401,0.00841207,0.017880648,0.011789385,0.009996185,0.03789421,0.039688386,0.015678562,0.008279668,0.03837303,-0.0052494393,-0.007453077,-0.008494717,0.016312417,0.015235892,-0.011051492,0.015332949,0.0015527426,-0.0024531083,0.020585343,0.0152737405,0.024283445,0.011818741,0.0068375063,-0.0111490255,-0.004152976,0.010682528,0.048038505,0.013533904,0.04675419,0.062504016,0.050306864,0.0014634879,-0.0035909438,0.0035791069,0.05343496,0.010140951,0.014068738,0.036214396,-0.007340532,0.0012297233,0.008366944,0.025811138,-0.01752173,-0.008136336,0.014242679,-0.017434012,-0.0045821494,0.034094404,0.024816878,-0.0075178696,-0.010615643,0.022170903,0.03087789,0.03779631,0.0066564707,0.0469009,0.02101087,0.0116256615,0.009864241,0.016718859,0.0072940495,0.020455435,0.00028157912,-0.0006155297,-0.008665857,0.0031715545,-0.009531796,0.0072862934
2005-12-31,0.023139864,-0.012566055,-0.047958773,0.015507047,-0.031880688,-0.00600907,0.028856128,-0.010259867,0.011294205,0.015548889,-0.0029594454,-0.0018267463,-0.0034888927,0.016693344,0.016673313,0.0058368994,0.016524443,0.0065285936,0.014213857,-0.00020981344,0.01651347,0.012266819,-0.003614746,-0.03266515,0.024441672,0.019107187,0.015313302,0.019424213,0.039401792,0.0140539035,0.017345823,0.007617746,0.0017516835,-0.0035602609,0.012414942,-0.005725256,0.03830442,-0.021964064,0.012110676,0.012953899,0.01292442,0.0045016473,0.04056066,-0.008333395,0.040021785,-0.0014385838,0.00067515153,-0.0020305938,-0.0023941728,0.04578626,0.04067577,0.012324189,0.0014502142,-0.0025554553,0.012295064,0.032234598,-0.003694794,-0.0005118787,-0.017587362,0.039571874,0.004699857,-0.0062415926,-0.0016924702,-0.0011206352,0.00061250833,0.0251949,0.004155964,0.010785973,0.009601189,0.023742743,0.0019334991,-0.013828815,0.008519847,0.021286612,0.013677822,0.0055336794,0.022968397,0.021716638,-0.024360778,0.026268108,0.012730925,0.01145108,0.03422098,0.007864137,0.008661261,0.010391555,0.020883195,0.011028044,0.01581393,0.04335158,0.043229416,0.021749008,0.013045472,0.044796914,-0.0045256126,-0.0018025428,-0.0052062324,0.020652462,0.019682443,-0.012570859,0.015496229,-0.00027728945,-0.0020094397,0.029368853,0.02098098,0.030256992,0.014909724,0.009733777,-0.0127996085,-0.006594322,0.007983517,0.056610625,0.014581328,0.05833918,0.072601534,0.05804351,-0.000743526,-0.0023264447,0.010283147,0.06657444,0.0141478665,0.016711837,0.04482921,-0.006151738,0.0011075279,0.011334774,0.035935722,-0.022937572,-0.011317566,0.018694686,-0.020006731,-0.007385638,0.043389525,0.018322444,-0.009631181,-0.005426209,0.033334885,0.03858947,0.053685274,0.008402894,0.053067382,0.022603253,0.016518954,0.015170664,0.018967407,0.012816688,0.025747139,-0.0041865106,-0.0055086464,-0.006655364,-0.00067646586,-0.011627224,0.005738452
2006-01-31,0.0207634,-0.01729809,-0.057260003,0.0073376903,-0.034954432,-0.012755312,0.0328563,-0.0068480005,0.0072066532,0.01651767,-0.0052653556,-0.011996406,-0.010951714,0.007882182,0.017941859,0.01004624,0.013740239,0.0021435572,0.009535532,-0.005787462,0.018708868,0.011920702,-0.008722759,-0.043595094,0.030660026,0.02459096,0.010868145,0.026861737,0.043344498,0.016153205,0.019070024,0.011039173,0.0036556658,-0.0030566496,0.0048754807,-0.0034341796,0.04129236,-0.024624739,0.017265595,0.009372622,0.018580992,0.0060759704,0.045878857,-0.00917527,0.04305266,-0.0019459757,-0.0011548203,-0.0048244516,-0.0031783844,0.051476095,0.042630006,0.011971873,0.0045238496,0.0010651663,0.012137782,0.031533998,-0.0010278042,0.003827256,-0.015445485,0.043631624,-0.00014965326,-0.01064453,-0.0076458645,-0.006773261,0.0017318478,0.025361191,0.002244991,0.0034108632,0.0074591413,0.030121488,0.0016049304,-0.0203612,0.0074234377,0.024994714,0.014849826,0.003956349,0.027697906,0.02477211,-0.018450204,0.030079013,0.015089763,0.018768078,0.03900307,0.013347826,0.014415845,0.011528494,0.021411989,0.010302578,0.021591596,0.05038555,0.05080295,0.025985856,0.018047474,0.05236825,-0.0026563692,-0.0013374034,-0.00418288,0.026901048,0.027375806,-0.01093271,0.021364244,-0.0048128814,-0.00541468,0.021393303,0.01939859,0.02840343,0.019712554,0.006820795,-0.016757179,-0.01120599,0.0045752884,0.062353015,0.015727585,0.06536766,0.082060106,0.06727789,-0.009615839,-0.01305345,0.014474438,0.07409824,0.011278192,0.013936464,0.04423295,-0.0038779518,-0.0042307605,0.014627871,0.044710062,-0.029416876,-0.014978624,0.024803653,-0.028394971,-0.0006595433,0.04608223,0.018326003,-0.008550658,-0.003676231,0.03327644,0.043920342,0.071925774,0.0036401085,0.05566296,0.033417746,0.018990528,0.015729515,0.020690087,0.015790582,0.031563602,-0.0077163246,-0.0018328746,-0.007379874,-0.0042919437,-0.01555371,0.0014404427
2006-02-28,0.02400794,-0.017207526,-0.057196084,0.017926471,-0.028749295,-0.010498693,0.030601216,-0.0008863121,0.007607054,0.018329788,-0.00633638,-0.01405346,-0.013506838,-0.002489065,0.019459661,0.02204883,0.014647445,0.0016176307,0.007938253,-0.004429238,0.015097422,0.011983067,-0.008889285,-0.04141894,0.03339889,0.026407704,0.01627035,0.021119466,0.04049834,0.012960079,0.016438404,0.00949357,0.0023293104,-0.0039277766,0.015379887,-0.007379172,0.045360852,-0.03137882,0.016245635,0.0045806863,0.014808037,-0.0004545615,0.040410586,-0.0077380566,0.042009644,-0.0043887133,0.00032301262,-0.005397879,-0.006441195,0.048749145,0.036490116,0.013862506,0.009907895,0.004856454,0.009982867,0.029781433,-0.002126797,-0.00018679007,-0.015925927,0.038482808,-0.008289535,-0.020976951,-0.01629575,-0.01433846,0.0028559724,0.024595538,-0.0052189566,0.01554142,0.008149502,0.02859558,0.005289481,-0.017486935,0.004953919,0.023227708,0.017742788,0.0070887096,0.023764223,0.020666592,-0.013518262,0.023451159,0.012761346,0.016534062,0.033163417,0.008998815,0.0072503737,0.0118117295,0.017412584,0.010414973,0.02023932,0.04871138,0.045740508,0.025082454,0.022541862,0.04934483,-0.0025984484,-0.0018549011,-0.005852877,0.0254003,0.02730429,-0.004805895,0.017518055,-0.008518918,-0.0024061827,0.021954581,0.017249726,0.024000648,0.020058654,0.0096115675,-0.028202135,-0.021522602,-0.00092419743,0.06948858,0.015986426,0.06305822,0.07215615,0.05903618,-0.012388963,-0.008424209,0.020913778,0.07349674,7.802188e-05,0.002045648,0.03523554,-0.008096102,-0.014185553,0.019154841,0.04385192,-0.03045019,-0.0145298615,0.025239205,-0.030336786,0.0021799915,0.04838293,0.014045424,-0.0063951793,-0.00078183215,0.029117506,0.045773476,0.079151966,0.010588963,0.05930812,0.039171148,0.01947964,0.014540993,0.020360887,0.024158513,0.031082422,-0.004870823,-0.0055892924,-0.0029533282,-0.00083948555,-0.015180451,0.0036363911
2006-03-31,0.022506889,-0.007707621,-0.05403831,0.021012237,-0.03089846,-0.0012237196,0.03649293,-0.00019490681,0.013485331,0.021243727,-0.0062341,-0.017448395,-0.008026915,0.013885205,0.024081359,0.015480884,0.01527309,0.0061209006,0.014009143,0.003900439,0.016660538,0.013206226,0.0006810858,-0.03153148,0.025310911,0.01803228,0.0072670826,0.030876514,0.036268927,0.011621599,0.019849187,0.015125106,0.00030730412,-0.00057698996,0.0176505,-0.010997179,0.042079855,-0.036264487,0.01279127,0.003420934,0.01000071,-0.0052852933,0.041860446,-0.004072108,0.047541335,-0.00297085,0.0032102184,-0.004241814,-0.0020451911,0.04380884,0.043042354,0.014849459,0.006993676,0.001283779,0.015001379,0.028376596,-0.004417019,-0.004693891,-0.014312406,0.04436698,0.0001190918,-0.009992763,-0.0074688266,-0.007707681,0.000694904,0.029142482,-0.0026554235,0.01653786,0.014440301,0.019913156,0.010096144,-0.013272217,0.0021289499,0.017211543,0.018528758,0.0055134185,0.019806271,0.017362686,-0.019517083,0.029510437,0.0074801384,0.0134924725,0.031385742,0.0050797425,0.0036169984,0.017927488,0.024206866,0.014531744,0.0125096105,0.040156905,0.04137089,0.014861833,0.01885766,0.047196656,-0.00086222484,-0.008104998,-0.01261827,0.018714882,0.02074232,-0.0013226934,0.010560455,0.00094512006,-4.6962086e-05,0.019334571,0.00869479,0.016474543,0.010258796,0.0063835746,-0.019809691,-0.007941886,0.006562778,0.060888432,0.022824867,0.053757373,0.06042153,0.068240866,-0.01112716,-0.00071322307,0.020892557,0.06363644,0.01048987,0.012788369,0.039736703,-0.010016369,-0.0039441166,0.021340191,0.03749141,-0.021690868,-0.0022106199,0.03231055,-0.021361664,-0.004443146,0.03885418,0.01054221,-0.0032473449,0.007382758,0.0116797285,0.039238308,0.057335723,0.011165008,0.050342396,0.03566159,0.014087621,0.006593753,0.015214682,0.018927056,0.025304182,0.005867842,-0.00809548,-0.009092935,0.00976722,-0.0038192836,0.013583489
2006-04-30,0.025441907,-0.006515514,-0.05207872,0.026423864,-0.026194457,-0.0006823621,0.035693776,0.0011334211,0.008050919,0.02156212,-0.0087991385,-0.01968349,-0.009621992,0.012877715,0.021943113,0.020774433,0.015570521,0.0056527583,0.012891715,0.002743996,0.02411661,0.015697282,0.0025941713,-0.028385004,0.02944585,0.019716868,0.007639816,0.03969233,0.033203494,0.010698751,0.024193423,0.009151405,3.6326266e-05,-0.0028393771,0.022695333,-0.015744543,0.050562844,-0.032224603,0.019204374,0.002671332,0.012949569,-0.0060144025,0.04369832,5.945048e-05,0.050288506,-0.00068008463,0.0043162256,-0.0049282545,-0.0017485626,0.048531678,0.05078605,0.02044183,0.00825004,0.0025894379,0.023403144,0.03617763,-0.0052228156,-0.008670166,-0.020216342,0.05286053,-0.006937102,-0.016939472,-0.013121811,-0.014280593,-0.005398705,0.030107696,-0.0045132693,0.024305198,0.01814404,0.01986157,0.0086334385,-0.014458024,0.011986668,0.016437018,0.022446856,0.0034499583,0.021084858,0.017854335,-0.021606635,0.03436734,0.0074635823,0.013651393,0.030414727,0.0058137244,0.005267582,0.018183038,0.028684862,0.012439492,0.014572372,0.043043923,0.042009618,0.018070238,0.025803734,0.050812047,-0.0016225713,-0.006936824,-0.013292654,0.016433675,0.01920559,-0.00056211575,0.008644825,-0.0018940093,0.0019922222,0.017835803,0.013818976,0.020680735,0.012663222,0.009769388,-0.013454026,-0.0067484984,0.011595892,0.0694695,0.033558514,0.05680192,0.054992903,0.081103005,-0.0049005547,-0.0014853152,0.029488353,0.07395245,0.006140289,0.011978751,0.04195304,-0.010163434,-0.010634104,0.02560497,0.039788418,-0.020739507,0.0015700224,0.03530701,-0.019992638,-0.004161687,0.046882316,0.0059336894,0.0083341515,0.015676841,-0.0011932813,0.043916624,0.055467524,0.008437176,0.049497828,0.048504733,0.011546773,0.0065524336,0.013347601,0.021652522,0.026587857,0.008710323,-0.012160427,-0.005906666,0.011863345,-0.0009399591,0.017102892
2006-05-31,0.013299228,-0.0013433251,-0.049760632,0.015689114,-0.025214182,0.00064083276,0.03555538,-0.009116675,0.010041227,0.023984794,-0.012689825,-0.03543939,-0.010903236,0.002135939,0.025054727,0.010983449,0.010145979,0.003264608,0.008759171,0.0027185117,0.0143614765,0.013245032,0.006306596,-0.016598029,0.012483883,0.005487332,-0.0005550793,0.043269396,0.024162192,0.011142605,0.017041618,0.017202713,0.0024237197,0.0039875368,0.013744412,-0.007315309,0.04073711,-0.02863465,0.016203083,0.0025868823,0.0027891847,-0.00038153652,0.036063027,0.007321855,0.042235866,0.004847192,0.007142283,0.0017299599,0.0050149243,0.041211527,0.03558253,0.014105533,-0.006812269,-0.010689234,0.018147543,0.027429614,-0.004381288,-0.0058969804,-0.018303366,0.043105483,-0.0023878228,-0.011776475,-0.005774357,-0.0057446393,-0.0009980735,0.021141674,-0.00073315494,0.013301404,0.014517849,0.010239613,0.0063637835,-0.012686886,0.0020013214,0.013733254,0.015045998,0.0027511306,0.012387633,0.014378874,-0.020289563,0.03127002,0.00067662314,0.01330037,0.022721274,0.008149171,0.0064324713,0.015611528,0.021577956,0.0116936825,0.0077158706,0.02573826,0.027066506,0.004069828,0.020196449,0.042890754,-0.0032684929,-0.015700752,-0.019610355,0.0065698656,0.0092075905,-0.011021726,0.004214062,-0.0041694315,-0.0008368856,0.015622235,0.004091007,0.01769622,0.000659918,-0.00015454898,-0.020670535,-0.008744235,-0.0030064601,0.058907926,0.034110315,0.04914784,0.035906535,0.062670335,0.0013225031,-0.0009819821,0.034371577,0.064954855,0.008866827,0.011827322,0.029353565,0.0012313684,-0.0076239384,0.010792153,0.0307582,-0.016334938,0.0031860818,0.029159013,-0.015350526,0.0021538557,0.044572193,0.0016124038,0.0089781815,0.020791953,-0.0058458513,0.04059928,0.0478463,0.009163124,0.036552288,0.04095591,0.0048852214,0.004776187,0.01317122,0.015298886,0.01651563,0.008760431,-0.0041591004,-0.01339186,0.0090956865,-0.00085139816,0.013997157
2006-06-30,0.005022105,0.00022259171,-0.037461087,0.0028454175,-0.020170331,0.0017411072,0.02965598,-0.007594328,0.006018442,0.022282247,-0.004713192,-0.01785711,-0.0055541634,0.0006694192,0.021338666,0.005663495,0.0066306726,0.0020896387,0.0068541924,0.0031757744,0.008333514,0.010205673,0.005144191,-0.01503966,0.011790938,0.0061837384,-0.0027814612,0.031049397,0.02082959,0.008186464,0.012862542,0.016406843,0.0013101248,0.006576264,0.0016335285,0.00082399294,0.03060005,-0.021437636,0.015202199,0.003339679,0.004847187,0.0022323204,0.03449472,0.009632218,0.036519196,0.0025106834,0.0069412603,0.0012567522,0.0049459944,0.035503138,0.026090696,0.010684171,-0.007845291,-0.010078393,0.013224044,0.019555636,-0.0041671335,-0.003437205,-0.016171472,0.03650961,0.0014394526,-0.0051378733,-0.0015433329,-0.0007853713,0.003496258,0.016126072,0.0045308396,-0.0009627875,0.011063096,0.0068549337,0.0041537783,-0.008674251,-0.0010295097,0.011788922,0.011566875,0.0002790521,0.010609541,0.0141626,-0.018075572,0.029317113,-0.0008690365,0.012177566,0.015705345,0.00860032,0.0053970516,0.010287658,0.016684845,0.008147947,0.0068164063,0.022285543,0.025182562,0.0054546585,0.0149193285,0.03889079,0.004150092,-0.0091843875,-0.01280084,0.008276373,0.008101271,-0.010199849,0.004255912,-0.0046033994,-0.006790668,0.011691484,0.0042297146,0.015709898,0.0014461573,-0.0015116216,-0.017778773,-0.005412858,-0.004310801,0.041045904,0.026460528,0.033025984,0.024500722,0.045525208,-0.0030852482,-0.0053513027,0.020992137,0.047186438,0.009062542,0.01177778,0.021649841,0.00089277036,-0.0028604912,0.005842531,0.02628247,-0.012399586,0.0022468336,0.02543479,-0.009039702,0.00050406024,0.028919261,0.011073562,0.0041382355,0.0075110295,-0.004562055,0.026279239,0.035673663,0.005048691,0.024012487,0.028385548,0.0032813384,0.0054573724,0.010863696,0.01542138,0.0140641285,0.0040581236,0.0021972847,-0.013141674,0.0042287665,-0.0027352108,0.007516306
2006-07-31,0.005626255,-0.00017523073,-0.03567971,0.0018947031,-0.020409474,0.0008058209,0.029083762,-0.0077228113,0.005948006,0.021822961,-0.0029287299,-0.018791508,-0.004502425,-0.003146012,0.021220936,0.004933033,0.009306649,0.001291701,0.006690033,0.005161658,0.007412773,0.010804996,0.0028456857,-0.015309414,0.0122718215,0.0071521397,-0.0015041946,0.031636946,0.019671889,0.008263038,0.013958038,0.016028596,0.0021570472,0.0075776507,0.00071363925,0.0034214486,0.030279033,-0.0205102,0.016280582,0.0020776798,0.0057125697,0.0031165665,0.034833424,0.008961628,0.037667923,0.0035670437,0.00748811,0.0023338492,0.0049399063,0.03551718,0.024908835,0.010194008,-0.0061316486,-0.008585475,0.012263837,0.0186073,-0.0037862714,-0.0025671348,-0.015782876,0.03807187,0.0019217052,-0.0047973325,-0.00081120315,-6.949535e-05,0.0040504904,0.015420276,0.0034253239,-0.0019095786,0.010942208,0.007998445,0.004004394,-0.008655899,-0.0013816933,0.011448389,0.012688164,0.0019255837,0.01204256,0.015819889,-0.017533354,0.03052395,0.0012465079,0.013832639,0.018196266,0.010055782,0.007885132,0.00969733,0.016673062,0.0071236473,0.0067549264,0.021848928,0.022601517,0.005898271,0.014958099,0.03894481,0.0031226298,-0.008389073,-0.011835375,0.009482703,0.0095704,-0.010695232,0.0049102884,-0.0064958087,-0.009810219,0.013174697,0.0053566345,0.016091608,0.0028280828,-0.0016211245,-0.017261634,-0.007573263,-0.004324663,0.04024831,0.02627265,0.033912215,0.024838781,0.042491946,-0.0011532455,-0.0060433014,0.021973144,0.04624386,0.008403278,0.010547738,0.020570546,0.0011042553,-0.0033095186,0.0062701674,0.027152801,-0.01324611,0.0018718292,0.024679504,-0.010449814,0.0027782845,0.026558904,0.014839964,0.0052577313,0.008279793,-0.0033959222,0.026684204,0.03402661,0.0037352452,0.02280596,0.027691621,0.0037469415,0.00595445,0.010391989,0.01687482,0.0150229735,0.0038640562,0.0046420605,-0.012830642,0.004075407,-0.0026797259,0.007264442
2006-08-31,0.004000081,-0.0037593103,-0.03782433,0.00035643158,-0.020685503,-0.001976491,0.03016548,-0.009139922,0.004897738,0.022275768,0.00041911987,-0.014252641,-0.0034145177,-0.002851541,0.021535533,0.006874815,0.012747261,0.0013269822,0.009181669,0.006478895,0.008070021,0.008719325,0.0012669443,-0.018177168,0.014086465,0.009738547,0.0007482933,0.033878222,0.021748563,0.008652312,0.012697739,0.01662854,-0.00012972228,0.00839099,-0.0010959606,0.00487179,0.03118283,-0.021013465,0.016076807,0.004716016,0.008417217,0.007641405,0.036831256,0.008490244,0.039030388,0.000986906,0.0060943915,0.0012035539,0.004901965,0.03685969,0.026990453,0.009240588,-0.0055745337,-0.0077599683,0.010361944,0.018387591,-0.0025236588,-0.0010830672,-0.015633734,0.039517112,0.0015433546,-0.0045675733,-0.001373864,-0.0003071357,0.0016229742,0.01631097,0.004928837,-0.0033999889,0.0092252,0.010071939,0.004886303,-0.009805544,-0.0007222087,0.010891799,0.012737734,5.5056666e-05,0.013423777,0.017303325,-0.018770546,0.03312067,0.0017191492,0.013252876,0.020393396,0.011244115,0.009507315,0.010225681,0.017388307,0.00795025,0.009401483,0.023045817,0.023651885,0.0070874076,0.014629307,0.040672414,0.0012642454,-0.0073561594,-0.009619965,0.010560566,0.010959171,-0.013539639,0.005854717,-0.0082353065,-0.010250432,0.016355446,0.0059935325,0.016792411,0.004213561,0.00063496176,-0.011507236,-0.0037715465,0.0021653494,0.041612506,0.027052158,0.03729958,0.029087162,0.046071004,0.0025004535,-0.0072800466,0.022177024,0.048575796,0.010690041,0.012947638,0.024254182,0.004139765,-0.002886903,0.005216241,0.029561283,-0.016043227,-0.00079877605,0.022482172,-0.012612134,0.0036426415,0.029143425,0.014882184,0.0066796807,0.0074550295,-0.0022161882,0.02906775,0.037271608,0.0030412744,0.022963861,0.026293533,0.0035919638,0.0055045267,0.010603836,0.017945038,0.017362734,0.0036335394,0.0064628487,-0.01131907,0.0038624573,-0.0036247529,0.0069684703
