dataset,location,weighting,T,start_year,end_year,n_years,n_months,selector,base_sr,sr,delta_sr,gainQ,meanC,sd_monthly_C,mean_cancellation,p95_cancellation,positive_year_frac
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,current,0.5075712691964235,2.169916433148317,1.6623451639518936,0.3095006099006949,17.333333333333332,3.7787411213460227,2.992516289963927,4.222726171528465,0.8095238095238095
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,gate2,0.5075712691964235,2.186428542961043,1.6788572737646197,0.31453106344026094,16.952380952380953,3.892698534204964,2.939851745411166,4.222726171528465,0.8571428571428571
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,allpast,0.5075712691964235,2.164577734639394,1.6570064654429708,0.30132123491093216,17.714285714285715,3.6212237214443523,2.9832401356080216,4.222726171528465,0.8095238095238095
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,recent,0.5075712691964235,2.2390880497077106,1.7315167805112872,0.3155431569514553,18.476190476190474,3.1476653859489208,2.9500869212465526,4.197689306116099,0.7619047619047619
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,median3,0.5075712691964235,2.164577734639394,1.6570064654429708,0.30132123491093216,17.714285714285715,3.6212237214443523,2.9832401356080216,4.222726171528465,0.8095238095238095
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,minimax,0.5075712691964235,2.2174089128843857,1.7098376436879623,0.3162968071416221,17.333333333333332,3.7787411213460222,2.9311108347520425,4.197689306116099,0.8095238095238095
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,mean3,0.5075712691964235,2.2281153614386495,1.7205440922422262,0.3192849950143966,17.841269841269842,2.557428671335196,2.9752811156061667,4.197689306116099,0.7142857142857143
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,stack2,0.5075712691964235,2.179324196082531,1.6717529268861075,0.3082656404017974,17.432521873528998,3.554009800203011,2.968560499977579,4.222726171528465,0.8095238095238095
world_market_vwcap,world,vw_cap,60,2005,2025,21,252,stack3,0.5075712691964235,2.236355696396058,1.7287844271996344,0.3207090216443647,17.869764882124787,2.5181112383084727,2.980856362061315,4.197689306116099,0.7142857142857143
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,current,0.6634062446932091,2.2241292679411573,1.5607230232479483,0.24265386578413603,24.4,7.803443076576672,3.918914276624054,5.896244685576731,0.75
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,gate2,0.6634062446932091,2.1996515500247553,1.5362453053315464,0.2654206154649274,20.0,4.390937795964943,3.331587050805298,4.918381283670148,0.8
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,allpast,0.6634062446932091,2.2008475667260954,1.5374413220328864,0.2624391551682819,22.0,6.144698705040974,3.472332784652731,5.179551817370105,0.75
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,recent,0.6634062446932091,2.0582490554626744,1.3948428107694655,0.2230817318911314,23.6,8.587623672164964,3.4856625265706516,5.7359155843852205,0.75
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,median3,0.6634062446932091,2.2008475667260954,1.5374413220328864,0.2624391551682819,22.0,6.144698705040974,3.472332784652731,5.179551817370105,0.75
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,minimax,0.6634062446932091,2.2863549523175766,1.6229487076243676,0.27951699589212464,23.2,8.927040394733577,3.5876616825182297,5.33632199934213,0.8
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,mean3,0.6634062446932091,2.238655872642762,1.5752496279495531,0.26643990675659984,23.333333333333332,4.461519964150787,3.625636529282479,5.486041109297307,0.75
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,stack2,0.6634062446932091,2.20409891200981,1.540692667316601,0.26474109736812207,21.21515069978703,4.808427486106298,3.408571265156485,4.918381283670148,0.8
world_market_vwcap,world,vw_cap,120,2006,2025,20,240,stack3,0.6634062446932091,2.271343098631229,1.6079368539380199,0.273920927685925,23.00305716841912,4.475300362935533,3.621213346233367,5.2322605327404546,0.8
world_market_vwcap,world,vw_cap,240,2016,2025,10,120,current,0.8287635039235992,2.153548044116118,1.324784540192519,0.16474165829711307,34.4,4.820125874432965,5.0100887369851375,7.135415273438099,0.9
world_market_vwcap,world,vw_cap,240,2016,2025,10,120,gate2,0.8287635039235992,2.153548044116118,1.324784540192519,0.16474165829711307,34.4,4.820125874432965,5.0100887369851375,7.135415273438099,0.9
world_market_vwcap,world,vw_cap,240,2016,2025,10,120,allpast,0.8287635039235992,2.258432608432294,1.4296691045086947,0.19024556748183166,36.0,0.0,5.355184568551789,7.296406975902843,0.9
world_market_vwcap,world,vw_cap,240,2016,2025,10,120,recent,0.8287635039235992,2.129105999489733,1.3003424955661336,0.17695147008351225,32.0,8.231932086840425,4.870031433222721,7.296406975902843,0.9
world_market_vwcap,world,vw_cap,240,2016,2025,10,120,median3,0.8287635039235992,2.258432608432294,1.4296691045086947,0.19024556748183166,36.0,0.0,5.355184568551789,7.296406975902843,0.9
