dataset,location,weighting,T,year,C_old,C_recent,C_all,C_gate2,C_median,C_minimax,stack2_w_gate,stack3_n_arms,selector_disagreement
world_market_vwcap,world,vw_cap,60,2005,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2006,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2007,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2008,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2009,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2010,8.0,16.0,16.0,8.0,16.0,16.0,0.4634922705297227,2,1.0
world_market_vwcap,world,vw_cap,60,2011,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2012,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2013,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2014,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2015,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2016,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2017,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2018,16.0,8.0,16.0,16.0,16.0,16.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2019,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2020,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2021,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2022,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,60,2023,8.0,16.0,16.0,8.0,16.0,16.0,0.276137811456653,2,1.0
world_market_vwcap,world,vw_cap,60,2024,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,60,2025,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
world_market_vwcap,world,vw_cap,120,2006,8.0,32.0,16.0,8.0,16.0,8.0,0.2405379225156561,3,2.0
world_market_vwcap,world,vw_cap,120,2007,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,120,2008,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
world_market_vwcap,world,vw_cap,120,2009,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
