window,model,n_months,sharpe,mean,volatility,response_one_loss,delta_sharpe,loss_gain,mean_C
60,baseline,252,-0.30833185393375656,-0.2810204197977035,0.9114219507728162,1.1163346219051697,0.0,0.0,3.0
60,intangibles,252,-0.031395546427628825,-0.035401787235106334,1.127605385582712,1.1114463591561512,0.27693630750612774,0.004888262749018611,5.880952380952381
60,investment,252,0.2623292252800807,0.34064028694475695,1.2985220635675114,1.0839881263985474,0.5706610792138372,0.0323464955066224,5.540952380952381
60,momentum,252,-0.3627495890550992,-0.3340086867558862,0.9207693043179506,1.1268138293782004,-0.054417735121342625,-0.01047920747303054,3.639047619047619
60,new,252,-0.3103132643847972,-0.2827605965010383,0.9112101510118084,1.1165994226376248,-0.001981410451040666,-0.0002648007324549033,3.1666666666666665
60,profitability,252,-0.12856717185147565,-0.13016999517573805,1.0124668163822879,1.1068977708241379,0.1797646820822809,0.009436851081031592,4.595238095238095
60,trading_frictions,252,-0.16520770081021163,-0.1604588013078721,0.9712549749252002,1.105221334732137,0.14312415312354493,0.011113287173032619,4.690476190476191
60,value,252,0.3017056095650269,0.46623865651615887,1.545343015624872,1.122020505726974,0.6100374634987835,-0.005685883821804367,8.321904761904761
60,all_extensions,252,0.5736636356440209,0.8332904468252653,1.4525767279806319,1.041074144828916,0.8819954895777775,0.0752604770762537,10.80952380952381
60,admission_gate,252,-0.24742616772184353,-0.25826496652338155,1.0438061943946162,1.133941347227177,0.06090568621191303,-0.01760672532200731,4.142857142857143
60,unhedged_all_extensions,252,0.4621581746273324,0.8670451618894002,1.8760788177955607,1.1528551442961286,0.770490028561089,-0.036520522390958814,10.80952380952381
120,baseline,252,-0.004462110641925036,-0.002510707101654437,0.5626725339493761,1.0266971641043654,0.0,0.0,3.0
120,intangibles,252,-0.06922255284405268,-0.04740415976602972,0.6848080259741892,1.046841387865678,-0.06476044220212765,-0.02014422376131243,5.261904761904762
120,investment,252,0.3673010881453688,0.3261615688099848,0.8879951062951874,1.0118290147413898,0.37176319878729386,0.014868149362975645,6.259047619047619
120,momentum,252,-0.11267368817030443,-0.06596709551033964,0.5854702777691226,1.0394760046073468,-0.1082115775283794,-0.012778840502981531,3.7304761904761907
120,new,252,-0.09448803412432571,-0.05560825190901676,0.5885216305362897,1.038038122323186,-0.09002592348240068,-0.011340958218820692,3.899047619047619
120,profitability,252,0.03990065603118177,0.025123125173734336,0.6296419074939766,1.0287235057414228,0.044362766673106804,-0.0020263416370573323,4.166666666666667
120,trading_frictions,252,0.050141602333458296,0.0339417457486311,0.6769178520244968,1.0323843304902902,0.05460371297538333,-0.00568716638592489,4.619047619047619
120,value,252,0.7241243995786928,0.8084060371141675,1.1163911029437912,0.9732526080720572,0.7285865102206178,0.05344455603230829,9.072380952380952
120,all_extensions,252,0.6908689642609832,0.9644962417928038,1.3960624831722137,1.0074820806324971,0.6953310749029082,0.019215083471868278,17.666666666666668
120,admission_gate,252,0.20778801948433342,0.1508821858724364,0.7261351556595036,1.018776055148818,0.21225013012625846,0.007921108955547233,4.333333333333333
120,unhedged_all_extensions,252,0.7639921612842258,1.3573917001614768,1.7767089362275408,1.0485772802782405,0.7684542719261508,-0.021880116173875037,17.666666666666668
240,baseline,252,-0.13324692530805093,-0.06243544215859716,0.4685694774138607,1.0286568190698613,0.0,0.0,3.0
240,intangibles,252,-0.14197290151704492,-0.12031602260132483,0.847457657874802,1.0797644097873038,-0.008725976208993985,-0.05110759071744262,7.703809523809524
240,investment,252,0.375348700110617,0.264800805050449,0.7054794780757493,0.9976639973011013,0.5085956254186679,0.030992821768759754,5.581904761904761
240,momentum,252,-0.13574868439712068,-0.068038953246821,0.5012126161589832,1.0322234072270389,-0.002501759089069744,-0.0035665881571776696,3.7028571428571433
240,new,252,-0.16728178529243729,-0.08032744677322236,0.48019242879788837,1.0325718626269478,-0.03403485998438635,-0.0039150435570866355,4.054285714285713
240,profitability,252,-0.18841365233628446,-0.1281724510278515,0.6802715697007281,1.0598872449019858,-0.055166727028233525,-0.031230425832124924,5.143809523809523
240,trading_frictions,252,0.002935031598357274,0.0018218136629027195,0.6207134750857134,1.0316760798179236,0.13618195690640822,-0.003019260748062577,4.690476190476191
240,value,252,0.9553612191965984,1.136515418433634,1.1896185396654213,0.9370153776724112,1.0886081445046494,0.09164144139744985,11.335238095238093
240,all_extensions,252,0.9311055495079206,1.2516663430757715,1.344279758333804,0.952261676470614,1.0643524748159714,0.07639514259924697,23.952380952380953
240,admission_gate,252,0.131973073736983,0.07970427058520112,0.6039434282181568,1.0170350924594118,0.2652199990450339,0.011621726610449211,5.095238095238095
240,unhedged_all_extensions,252,0.7258973264709935,1.2039558840392888,1.6585759998489238,1.0377365743370226,0.8591442517790444,-0.009079755267161657,23.952380952380953
