window,model,block,delta_sr,low_sr,high_sr,sim_low_sr,sim_high_sr,gain_loss,low_loss,high_loss
120,value,6,0.4721386331618448,0.07659490435775225,0.8902681951275323,-0.01746130445509031,0.9617385707787799,0.05078782809127423,-0.02233117061486978,0.12758511576001116
120,investment,6,0.24637865530389214,0.02954928499120113,0.48773653045569776,-0.24322128231304296,0.7359785929208272,0.03495281585536134,-0.0030335274314115084,0.07403343983695529
120,momentum,6,-0.01101997858012399,-0.26729174044781806,0.26477065702398017,-0.500619916197059,0.4785799590368111,-0.02375701376077738,-0.06589584228919963,0.01760656224801484
120,all_extensions,6,0.5396980988518016,0.06735928961835203,0.9979891670994572,0.050098161234866545,1.0292980364687367,0.06459951058627837,-0.02139450542149693,0.14745854516745294
120,value,12,0.4721386331618448,0.12378826161142538,0.8357519443375826,-0.014757216769915815,0.9590344830936054,0.05078782809127423,-0.008122077507512558,0.11049262455202415
120,investment,12,0.24637865530389214,0.03131401236315793,0.4805460603236435,-0.24051719462786847,0.7332745052356527,0.03495281585536134,-7.130920307757158e-05,0.07108570856346177
120,momentum,12,-0.01101997858012399,-0.28897068748190885,0.24988505591537183,-0.4979158285118846,0.4758758713516366,-0.02375701376077738,-0.06679624159527793,0.015729871310995375
120,all_extensions,12,0.5396980988518016,0.04938346777176135,0.9922279747267447,0.05280224892004104,1.0265939487835622,0.06459951058627837,-0.02309548504026608,0.1482087943031832
120,value,24,0.4721386331618448,0.1551592461806119,0.8197717579772634,0.022441118093755597,0.921836148229934,0.05078782809127423,0.0031891135177640117,0.09919967749360549
120,investment,24,0.24637865530389214,0.05278179232723003,0.45610027932957053,-0.20331885976419706,0.6960761703719813,0.03495281585536134,0.0050345254734523144,0.06700901363986998
120,momentum,24,-0.01101997858012399,-0.311003579239422,0.23530565520819224,-0.4607174936482132,0.4386775364879652,-0.02375701376077738,-0.06608341893942846,0.008925529422761208
120,all_extensions,24,0.5396980988518016,0.091984039632389,0.9698889942373938,0.09000058378371245,0.9893956139198908,0.06459951058627837,-0.013600024744261514,0.1422202524383997
240,value,6,0.7007382458088856,0.24959834688301605,1.1055937355816416,0.10701751665687442,1.2944589749608966,0.0850824660590572,0.010034305170525691,0.15886876125238417
240,investment,6,0.2700977678308833,0.03453802263402848,0.48698991255741236,-0.32362296132112783,0.8638184969828944,0.03462976463429867,-0.0031064682732845203,0.07378309768384443
240,momentum,6,0.07974967135373168,-0.10767708183957636,0.25766716727413713,-0.5139710577982795,0.6734704005057428,0.0041787042499562,-0.022904729668195904,0.0300877792471575
240,all_extensions,6,0.7351820350882907,0.11605638043263951,1.2964417372571235,0.1414613059362796,1.328902764240302,0.08301808095381182,-0.03634764180530099,0.19800307028811714
240,value,12,0.7007382458088856,0.26992240317405314,1.0861646088980372,0.08624875331626447,1.3152277383015067,0.0850824660590572,0.022197202234035714,0.14675808838994372
240,investment,12,0.2700977678308833,0.023726247473863166,0.4767984180214935,-0.3443917246617378,0.8845872603235043,0.03462976463429867,-0.0008880003273657973,0.0726014171013488
240,momentum,12,0.07974967135373168,-0.1108325141702573,0.26042033474327875,-0.5347398211388894,0.6942391638463528,0.0041787042499562,-0.021861719703507088,0.02803974520019656
240,all_extensions,12,0.7351820350882907,0.09370604912434326,1.319957613635389,0.12069254259566964,1.3496715275809117,0.08301808095381182,-0.04254204336646316,0.2035706362929892
240,value,24,0.7007382458088856,0.31343707974579615,1.034306672053507,0.2076864604156467,1.1937900312021243,0.0850824660590572,0.03189280076937489,0.13256609582674989
240,investment,24,0.2700977678308833,0.04550044229399951,0.439090512015568,-0.22295401756235556,0.7631495532241221,0.03462976463429867,0.0037426403528985045,0.06168263169063115
240,momentum,24,0.07974967135373168,-0.10191068208559523,0.252877553007388,-0.4133021140395072,0.5728014567469706,0.0041787042499562,-0.02017894417350964,0.025807814910745474
240,all_extensions,24,0.7351820350882907,0.22226581666819076,1.1872690726913964,0.24213024969505187,1.2282338204815295,0.08301808095381182,-0.022420555761326687,0.18018464757640015
