T,signal,C_extra,population_Q,population_SR,incremental_Q_recovery,delta_SR
60,leading,0.0,1.013619226818479,0.4508822742138717,0.0,0.0
60,leading,0.5,1.0072231518709196,0.5055595007115181,0.16969455706457665,0.05467722649764645
60,leading,1.0,1.0048031067762877,0.5369920555507187,0.23390088419126986,0.08610978133684696
60,leading,2.0,1.005269195274173,0.5722442038824009,0.2215350689295701,0.12136192966852917
60,leading,4.0,1.0159277406385714,0.591904572963647,-0.061247285779150805,0.1410222987497752
60,leading,8.0,1.0600906971165527,0.5520406176940031,-1.2329367046238915,0.10115834348013147
60,leading,12.0,1.1277264722795286,0.4883823783631888,-3.0273845499200367,0.03750010414931707
60,leading,16.0,1.2287399587793328,0.4231442042476415,-5.707377981778406,-0.027738069966230232
60,leading,20.0,1.3930769924571496,0.3578504925226448,-10.067411340972379,-0.0930317816912269
60,leading,23.0,1.6012167350073332,0.30800098144435084,-15.589576373304618,-0.14288129276952088
60,trailing,0.0,1.013619226818479,0.4508822742138717,0.0,0.0
60,trailing,0.5,1.015094038026902,0.4442583099893022,-0.03912828364569523,-0.006623964224569446
60,trailing,1.0,1.0187299445763702,0.43323463542034374,-0.13559268665830188,-0.017647638793527945
60,trailing,2.0,1.0281174831506206,0.4112476439184008,-0.38465390206696404,-0.0396346302954709
60,trailing,4.0,1.0487747603928053,0.3763682314534328,-0.9327130696835556,-0.07451404276043894
60,trailing,8.0,1.096486863326404,0.3326339227045774,-2.198565055521537,-0.11824835150929426
60,trailing,12.0,1.1588291772002897,0.3111065652916466,-3.8525718371723188,-0.1397757089222251
60,trailing,16.0,1.2496296469967154,0.3027652877166254,-6.2616032556111545,-0.1481169864972463
60,trailing,20.0,1.4009487208095348,0.29830330486747747,-10.276256526033942,-0.15257896934639426
60,trailing,23.0,1.6001773859599728,0.2912448554964886,-15.562001356177179,-0.15963741871738313
120,leading,0.0,0.9859396363245527,0.5537619598246818,0.0,0.0
120,leading,0.5,0.9790872185056618,0.6142849206732092,0.181801810662305,0.060522960848527374
120,leading,1.0,0.9749495961617758,0.6508662067434413,0.29157725837092846,0.0971042469187595
120,leading,2.0,0.9706820650338728,0.694590085569603,0.4047993219718468,0.1408281257449212
120,leading,4.0,0.9704632306628858,0.7250491818753568,0.4106052266805323,0.171287222050675
120,leading,8.0,0.9876440174865109,0.6983422027589803,-0.04521901458613645,0.14458024293429853
120,leading,12.0,1.01623921010504,0.6429652469068425,-0.8038793782251158,0.08920328708216071
120,leading,16.0,1.0553613575789207,0.5817044073993523,-1.8418308627568185,0.02794244757467054
120,leading,20.0,1.1107457785587131,0.5183119436680799,-3.3112374696994546,-0.03545001615660191
120,leading,23.0,1.1698178394354644,0.4701521970214384,-4.878481019463844,-0.0836097628032434
120,trailing,0.0,0.9859396363245527,0.5537619598246818,0.0,0.0
120,trailing,0.5,0.9865824523070863,0.5481410930319657,-0.01705458024248029,-0.00562086679271612
120,trailing,1.0,0.988191370602086,0.5378656447270228,-0.05974086513775681,-0.01589631509765897
120,trailing,2.0,0.9922897586588154,0.5175803405833505,-0.1684753861787961,-0.03618161924133129
120,trailing,4.0,1.0011343139981796,0.48545807464986973,-0.4031306885403286,-0.06830388517481206
120,trailing,8.0,1.0208421068008393,0.44648168991904696,-0.9259990410514188,-0.10728026990563479
120,trailing,12.0,1.0438258726064091,0.4319485962900875,-1.5357823831838249,-0.12181336353459425
120,trailing,16.0,1.073420373595923,0.4328873366273686,-2.3209554429333976,-0.1208746231973132
120,trailing,20.0,1.1178375686085849,0.4408785960464972,-3.499390075973579,-0.11288336377818459
120,trailing,23.0,1.1704084843413711,0.44652613137963537,-4.894151446485423,-0.10723582844504645
240,leading,0.0,0.9732853711662721,0.6218119232792073,0.0,0.0
240,leading,0.5,0.9663116481663565,0.6842732511789498,0.1850201639699854,0.06246132789974254
240,leading,1.0,0.9613917555985806,0.7259495444419488,0.31555005877877096,0.10413762116274146
240,leading,2.0,0.9549580540236425,0.7794913743880058,0.48624288961581263,0.15767945110879844
240,leading,4.0,0.9498152375552603,0.8249393493470218,0.6226871886307176,0.20312742606781453
240,leading,8.0,0.9545014310765078,0.8178104671562428,0.4983575739174907,0.19599854387703558
240,leading,12.0,0.9667791879681955,0.7757692808963205,0.17261584409668138,0.1539573576171132
240,leading,16.0,0.9839402236450749,0.7242830482698105,-0.28268437859202655,0.10247112499060324
240,leading,20.0,1.0074497923156978,0.6676152530652307,-0.9064178205935026,0.04580332978602339
240,leading,23.0,1.0311790349042091,0.6225147038761628,-1.535979441360918,0.00070278059695548
240,trailing,0.0,0.9732853711662721,0.6218119232792073,0.0,0.0
240,trailing,0.5,0.9735710517318013,0.6190009461165977,-0.00757940415440696,-0.002810977162609607
240,trailing,1.0,0.9742607442909241,0.613147293066569,-0.025877668995054816,-0.008664630212638288
240,trailing,2.0,0.976027460021771,0.6007611396566069,-0.07275048488028533,-0.02105078362260033
240,trailing,4.0,0.9797444115451295,0.5800640953120151,-0.17136509580311446,-0.04174782796719218
240,trailing,8.0,0.9866676387373865,0.5565839473328912,-0.3550455531898409,-0.06522797594631607
240,trailing,12.0,0.9930528265549792,0.555219835222504,-0.5244512633111708,-0.06659208805670336
240,trailing,16.0,1.000637874901285,0.5696610873934673,-0.7256905280153633,-0.052150835885739995
240,trailing,20.0,1.0137759242527498,0.590862104761813,-1.0742567164463042,-0.030949818517394312
240,trailing,23.0,1.0323108747166765,0.6052765004689432,-1.5660083352090093,-0.01653542281026406
480,leading,0.0,0.9665790404430855,0.6629313284832798,0.0,0.0
480,leading,0.5,0.9593018858257837,0.7300944143784597,0.1930705220933498,0.06716308589517975
480,leading,1.0,0.9539744172682567,0.776487264518785,0.3344138341334869,0.11355593603550514
480,leading,2.0,0.9465857695530602,0.8362848966937648,0.5304423847080735,0.173353568210485
480,leading,4.0,0.9392748344714742,0.8908815045808056,0.7244091378448572,0.22795017609752577
480,leading,8.0,0.938889943256126,0.8996388571352498,0.7346207042886619,0.23670752865197003
480,leading,12.0,0.9445196189521008,0.8744707151968824,0.5852595208318951,0.2115393867136025
480,leading,16.0,0.9527119914053409,0.8396909648671756,0.3679073124605558,0.17675963638389572
480,leading,20.0,0.9636719215873651,0.7985548197392363,0.07712890336655685,0.13562349125595652
480,leading,23.0,0.9743465811250687,0.7638600657550794,-0.20608097721137184,0.10092873727179943
480,trailing,0.0,0.9665790404430855,0.6629313284832798,0.0,0.0
480,trailing,0.5,0.9667011664842897,0.6617087769417975,-0.0032401315866552797,-0.0012225515414823283
480,trailing,1.0,0.9670372906351777,0.6585200016891862,-0.012157856812092804,-0.00441132679409368
480,trailing,2.0,0.967852585876885,0.6514278392261312,-0.033788492170918484,-0.011503489257148659
480,trailing,4.0,0.9692398449049455,0.6412052052245243,-0.07059392491375627,-0.021726123258755604
480,trailing,8.0,0.9705027748938483,0.6384750050838998,-0.10410077823044624,-0.024456323399380083
480,trailing,12.0,0.9697893008566902,0.6572688063611762,-0.08517156590800398,-0.005662522122103555
480,trailing,16.0,0.968195155900544,0.6906170579517387,-0.04287723314175192,0.027685729468458778
480,trailing,20.0,0.9688752816112115,0.7257491273067211,-0.060921679488336454,0.06281779882344127
480,trailing,23.0,0.9745516729798753,0.7451785527193557,-0.21152227859453443,0.08224722423607593
960,leading,0.0,0.9638057699772687,0.6810648341748374,0.0,0.0
960,leading,0.5,0.9565480067309202,0.7483191842622595,0.19255604874340093,0.067254350087422
960,leading,1.0,0.9510501134383622,0.7970866944670173,0.3384209072258575,0.1160218602921799
960,leading,2.0,0.9431107692973935,0.8623226317593732,0.549060009867867,0.18125779758453578
960,leading,4.0,0.9345533443239483,0.9247709359011487,0.7760974433545164,0.24370610172631121
