year,window,group,tune_end,confirmation_end,selected_grid_C_extra,training_total_C,confirmation_loss_gain,simultaneous_lower_bound
2011,60,trading_frictions,2005-12-31,2010-12-31,4.0,7.0,0.010133264250021616,-0.23813889350029935
2011,60,value,2005-12-31,2010-12-31,8.0,11.0,-0.08126081633924077,-0.3295329740895618
2011,60,all_extensions,2005-12-31,2010-12-31,16.0,19.0,-0.11956175446956575,-0.36783391221988676
2012,60,intangibles,2006-12-31,2011-12-31,1.0,4.0,0.0196832083753981,-0.2129137305812674
2012,60,investment,2006-12-31,2011-12-31,0.5,3.5,0.014160593405476674,-0.2184363455511888
2012,60,momentum,2006-12-31,2011-12-31,1.0,4.0,-0.018353943893321862,-0.25095088284998734
2012,60,new,2006-12-31,2011-12-31,0.0,3.0,-1.572815951552305e-17,-0.2325969389566655
2012,60,profitability,2006-12-31,2011-12-31,1.0,4.0,0.01682788293551424,-0.21576905602115123
2012,60,trading_frictions,2006-12-31,2011-12-31,4.0,7.0,-0.05031900212934916,-0.2829159410860146
2012,60,value,2006-12-31,2011-12-31,8.0,11.0,-0.024333277747201523,-0.256930216703867
2012,60,all_extensions,2006-12-31,2011-12-31,16.0,19.0,-0.09286070690966587,-0.32545764586633136
2013,60,intangibles,2007-12-31,2012-12-31,4.0,7.0,-0.08123489904300682,-0.36828159898812185
2013,60,investment,2007-12-31,2012-12-31,4.0,7.0,0.09532662068972506,-0.19172007925538995
2013,60,momentum,2007-12-31,2012-12-31,2.0,5.0,-0.0592568807594673,-0.3463035807045822
2013,60,new,2007-12-31,2012-12-31,0.0,3.0,-8.326672684688674e-18,-0.28704669994511495
2013,60,profitability,2007-12-31,2012-12-31,0.0,3.0,-8.326672684688674e-18,-0.28704669994511495
2013,60,trading_frictions,2007-12-31,2012-12-31,8.0,11.0,-0.3821506142409572,-0.6691973141860722
2013,60,value,2007-12-31,2012-12-31,4.0,7.0,0.10484313797395675,-0.1822035619711582
2013,60,all_extensions,2007-12-31,2012-12-31,16.0,19.0,-0.08773689613762481,-0.37478359608273976
2014,60,intangibles,2008-12-31,2013-12-31,1.0,4.0,0.00870018265637887,-0.09762123984994811
2014,60,investment,2008-12-31,2013-12-31,0.0,3.0,-1.1102230246251566e-17,-0.10632142250632699
2014,60,momentum,2008-12-31,2013-12-31,2.0,5.0,-0.07070527176839025,-0.17702669427471723
2014,60,new,2008-12-31,2013-12-31,1.0,4.0,-0.036908329048815955,-0.14322975155514295
2014,60,profitability,2008-12-31,2013-12-31,1.0,4.0,0.002470582528208894,-0.10385083997811809
2014,60,trading_frictions,2008-12-31,2013-12-31,2.0,5.0,0.0094761118127122,-0.09684531069361478
2014,60,value,2008-12-31,2013-12-31,4.0,7.0,0.12539416353978156,0.019072741033454577
2014,60,all_extensions,2008-12-31,2013-12-31,4.0,7.0,0.06610280076399126,-0.04021862174233572
2015,60,intangibles,2009-12-31,2014-12-31,2.0,5.0,0.006364577793187672,-0.07948684220614181
2015,60,investment,2009-12-31,2014-12-31,4.0,7.0,0.069070620303576,-0.01678079969575351
2015,60,momentum,2009-12-31,2014-12-31,0.0,3.0,-1.1102230246251566e-17,-0.08585141999932949
2015,60,new,2009-12-31,2014-12-31,0.0,3.0,-1.1102230246251566e-17,-0.08585141999932949
2015,60,profitability,2009-12-31,2014-12-31,2.0,5.0,0.014279721320704737,-0.07157169867862474
2015,60,trading_frictions,2009-12-31,2014-12-31,2.0,5.0,-0.01371844432865312,-0.0995698643279826
2015,60,value,2009-12-31,2014-12-31,4.0,7.0,0.10664519486703453,0.020793774867705048
2015,60,all_extensions,2009-12-31,2014-12-31,8.0,11.0,0.09250259923096751,0.006651179231638035
2016,60,intangibles,2010-12-31,2015-12-31,2.0,5.0,0.018808644524092036,-0.058051832031640334
2016,60,investment,2010-12-31,2015-12-31,4.0,7.0,0.06130500533039316,-0.015555471225339214
2016,60,momentum,2010-12-31,2015-12-31,0.0,3.0,-1.3877787807814457e-17,-0.07686047655573239
2016,60,new,2010-12-31,2015-12-31,0.0,3.0,-1.3877787807814457e-17,-0.07686047655573239
